OFFs-ID,x-coordinate,y-coordinate,OFF-price,capacity
414, 116.724464877, 40.0489001184, 11788.996719246144, 7
367, 116.007222688, 40.1593905544, 13676.34136569523, 7
77, 117.076783378, 40.5208077598, 10897.184926115644, 7
186, 116.372172763, 40.0187568373, 25000, 2
189, 116.907166643, 40.4003439928, 9897.19844152161, 5
192, 116.033269485, 40.430459056, 7823.149697677704, 8
415, 116.881067745, 39.7673408481, 13000, 4
29, 116.411304501, 39.8679610629, 15936.232314825404, 3
428, 116.124462225, 40.0187568373, 14000, 2
448, 115.942123188, 39.7673408481, 13000, 5
127, 116.580916101, 40.2196396545, 12000, 2
101, 116.633113705, 40.6412949026, 12000, 2
363, 116.502626803, 40.3099970656, 9798.88017525112, 7
130, 116.189625065, 39.9484032343, 13698.819285232716, 5
470, 116.45044028, 39.5759086053, 14000, 2
118, 116.241768785, 40.1995577873, 14000, 4
357, 116.293923268, 40.2899189035, 11890.439040828931, 7
325, 116.593965207, 40.1192179163, 12893.664577777246, 5
89, 116.528722105, 40.1593905544, 13000, 2
275, 116.241768785, 39.8880757723, 15865.897556834438, 9
240, 116.25480644, 39.8176610831, 16000, 6
174, 116.293923268, 40.3401133727, 13000, 3
5, 116.763616266, 40.4003439928, 10552.887886455443, 7
85, 115.772994841, 39.5456471663, 12000, 2
346, 116.26784475, 39.64647925, 12937.151516050963, 3
32, 116.424349335, 40.1393049666, 12741.399393659214, 5
24, 115.838020432, 39.5859934457, 13000, 3
244, 115.981179821, 39.797535517, 12687.972413183556, 8
138, 116.150524999, 39.857902604, 15383.824964792262, 9
405, 116.750565796, 40.2095988551, 13000, 3
353, 116.215695511, 40.2899189035, 13000, 3
441, 116.489579637, 39.9282967469, 24781.581664849404, 6
378, 116.593965207, 39.7069273837, 13000, 6
42, 116.189625065, 40.0489001184, 20000, 2
123, 116.189625065, 40.2698401126, 6497.776707627175, 18
16, 116.633113705, 40.1995577873, 12930.098851076344, 2
249, 116.020245604, 39.6565564739, 12000, 0
6, 116.085374314, 40.4706130605, 9000, 4
68, 116.098402761, 40.0991292923, 20000, 0
187, 116.124462225, 40.1493479364, 14000, 5
235, 116.306963441, 40.0689931627, 12497.59381301722, 9
281, 116.554818584, 39.9484032343, 30000, 4
434, 116.25480644, 39.737138262, 12780.297343122713, 8
74, 116.215695511, 39.8679610629, 15968.059725992916, 6
92, 116.633113705, 40.7618294292, 5988.625921007934, 18
159, 116.64616354, 40.0187568373, 11866.795824986788, 8
209, 116.424349335, 40.1895164372, 10605.574642880745, 11
322, 116.26784475, 40.1292616312, 12000, 5
47, 116.763616266, 40.2899189035, 6033.122109673783, 18
181, 116.554818584, 40.2095988551, 12000, 5
354, 116.215695511, 39.716998621, 12879.981303442644, 8
402, 116.280883699, 39.8277226439, 21335.317005889734, 8
73, 116.346087412, 40.1292616312, 12619.32272640746, 9
222, 116.802767517, 40.430459056, 11000, 3
385, 115.968159904, 39.6968551834, 13000, 5
53, 116.137493207, 39.7774065989, 17942.789677004203, 4
106, 116.306963441, 40.1593905544, 14000, 0
411, 116.293923268, 39.6666326653, 11924.99341891182, 6
63, 116.346087412, 39.8981320507, 35000, 2
272, 116.4373946, 39.9785582781, 20000, 4
312, 116.789717144, 39.7472066935, 12000, 2
4, 116.463486358, 39.7774065989, 12855.49592550294, 2
303, 115.90307617, 39.8478433905, 13000, 2
239, 116.228731803, 40.0790389836, 14008.129392112729, 13
289, 116.333045531, 39.9785582781, 22000, 3
179, 116.698364103, 39.9584555266, 11866.795824987017, 5
243, 115.994200755, 40.3099970656, 13000, 5
136, 116.959361845, 40.1493479364, 11867.39444017268, 5
400, 116.4373946, 40.1493479364, 13000, 4
125, 116.085374314, 39.797535517, 20000, 0
86, 116.163557584, 40.5710065174, 9000, 4
104, 116.215695511, 40.0991292923, 15937.44893571782, 7
396, 116.541770206, 39.7472066935, 11867.394440171971, 6
191, 116.959361845, 40.2698401126, 9918.69467975933, 5
176, 116.398260116, 39.8377834084, 4258, 0
40, 116.4373946, 39.7874714839, 11912.079955340667, 5
148, 116.176590945, 40.1593905544, 14000, 0
471, 116.528722105, 39.7774065989, 14000, 5
476, 116.306963441, 40.2296801995, 13000, 4
252, 116.241768785, 40.4906905643, 8848.78319988753, 7
10, 116.998505436, 40.0790389836, 11764.532460068282, 7
369, 116.385216198, 40.1192179163, 13520.267761595658, 7
320, 115.955141021, 39.9081876299, 15000, 5
298, 117.024599567, 40.1192179163, 10000, 5
382, 116.64616354, 39.9383503123, 12918.03598478831, 7
433, 116.4373946, 39.9383503123, 30000, 3
66, 116.333045531, 39.7069273837, 12921.639306548204, 5
355, 116.346087412, 40.3401133727, 7547.786952827011, 18
264, 116.333045531, 40.0991292923, 14000, 0
43, 116.607014521, 39.7472066935, 12385.301405302387, 8
485, 116.463486358, 40.1393049666, 14000, 3
482, 116.64616354, 40.1192179163, 12000, 3
425, 116.567867221, 40.2899189035, 9000, 2
238, 117.233289298, 40.1995577873, 10000, 2
256, 116.554818584, 39.9584555266, 7817.319107017352, -55
21, 116.620064026, 40.1794747909, 12000, 2
453, 116.489579637, 39.9986586779, 29937.111572753176, 3
80, 116.541770206, 39.8176610831, 12000, 0
172, 115.994200755, 39.6162412442, 13000, 4
55, 116.672263611, 39.8981320507, 12000, 3
155, 116.685313813, 40.3802672852, 8000, 2
100, 116.411304501, 40.0890843555, 9681.43080317741, 13
420, 116.776666722, 40.1091738079, 13751.19336458899, 7
324, 116.333045531, 39.9282967469, 30000, 0
146, 116.280883699, 39.5254669701, 13000, 4
368, 116.463486358, 39.8075987121, 13645.72096222156, 7
218, 116.4373946, 39.8377834084, 25000, 5
393, 116.698364103, 40.0790389836, 12000, 3
473, 116.241768785, 39.5759086053, 13932.903468830078, 3
177, 116.463486358, 39.8377834084, 20000, 4
17, 116.776666722, 40.5609663578, 12000, 2
96, 116.411304501, 39.737138262, 13000, -176
88, 116.659213515, 39.6968551834, 11553.453216990754, 7
413, 116.424349335, 39.8880757723, 20000, 2
323, 116.45044028, 39.8478433905, 25000, 2
371, 116.411304501, 39.9383503123, 30000, 3
197, 116.046294313, 40.1091738079, 14000, 2
30, 116.567867221, 39.918242524, 7408.709274885054, 8
167, 116.163557584, 39.737138262, 12000, 2
404, 116.659213515, 40.1192179163, 12955.958622649949, 5
260, 116.985457875, 40.430459056, 12000, 5
430, 116.724464877, 39.9383503123, 12880.079750603332, 6
351, 116.894117288, 40.6714231542, 10000, 2
151, 116.476532816, 40.0890843555, 12000, 0
423, 116.176590945, 39.857902604, 15777.735077774838, 7
427, 116.659213515, 40.410382333, 7948.074829975387, 2
90, 115.994200755, 39.857902604, 14000, 5
79, 116.320004201, 39.9584555266, 15729.088588285238, 9
294, 116.476532816, 39.9282967469, 30000, -13
360, 116.085374314, 40.1995577873, 12000, 5
237, 116.385216198, 39.5254669701, 11864.790441203084, 4
401, 116.372172763, 39.8176610831, 18000, 5
395, 115.877050395, 40.1091738079, 15000, 2
270, 116.241768785, 39.9484032343, 16000, 2
162, 116.698364103, 39.918242524, 12000, 4
262, 116.920215793, 40.3300747099, 11000, 3
391, 116.4373946, 39.8478433905, 18000, 2
