OFFID,Attractiveness
172,0
438,0
441,-1.1071449567318876
308,0
22,-1.8107615512458584
35,0
275,-0.6267647148487665
384,-1.0081113452785977
218,-0.5750073535337352
145,-0.3052415962444637
316,0
450,0
131,-2.8750367540174366
285,-1.9401176480298339
362,0
76,0
464,-0.7028697464228707
325,-0.37619327643882394
53,0
130,0
422,0
434,-1.211369221642883
302,-3.2297951574549932
410,-18.65005982562752
198,0
303,0
88,-1.7035871795695896
135,0
391,0
184,-1.6296853957244444
270,0
142,-0.7523865524682187
137,-2.2357247849153254
282,-0.46488287682457174
127,0
78,-0.5003587173382706
416,0
36,0
160,0
92,-3.502510996059524
344,-6.552014143701098
163,-2.5771890681810974
133,0
49,-38.27999966086831
113,0
426,0
192,-1.9918376905293242
90,-0.42940703691223403
250,0
200,-2.0443046208173903
197,0
182,0
103,0
29,0
420,-1.504773105790751
469,-1.0827599763404976
373,-0.6599999983132419
298,0
97,0
379,0
494,0
480,0
83,-0.36215231111165597
17,0
411,-0.5395315111445437
173,-1.0813035757297298
413,0
54,-1.7893266753197048
290,0
394,-0.7169107125823587
458,0
357,-3.22609820385753
380,-0.8233382341844371
255,0
30,-2.5091874817971793
292,0
353,0
2,-0.3229795168614622
67,0
116,0
167,0
70,0
41,-0.39393119669139676
175,-8.950367652251918
281,-0.4826207981324044
216,0
117,0
463,0
272,0
351,0
462,0
489,0
254,-51.536947769055736
263,0
457,0
346,-0.3939311965524089
243,0
327,-0.4826207971021616
189,0
461,-0.9297657560425185
134,0
317,0
183,-0.340717436134303
212,0
