OFFID,Attractiveness
412,-1.3414348708967407
301,-0.6104831932600332
162,0
105,0
284,0
43,-3.8646633275825635
20,0
65,-15.308683742455887
257,-3.450044110291097
266,-1.0753660699795153
336,0
229,-2.2357247857161107
165,-0.44714495787570135
31,0
48,0
333,-3.6628991458282036
93,0
477,0
363,-1.008111340004484
214,0
287,-10.48322263452619
486,0
123,-61.13540275658375
278,-0.6599999983181619
497,0
84,-1.4375183753420273
478,-1.192884452340978
495,0
482,0
18,-1.1507615537932863
472,0
85,0
496,-2.875036756415436
427,0
259,-0.8092972671050138
343,0
120,0
1,0
86,0
488,0
72,0
359,0
47,-60.89297206367597
23,0
312,0
40,0
262,0
484,0
64,-84.47999955300652
405,0
385,0
56,-1.0162520866629299
140,-0.9371596640024284
415,0
397,0
114,0
27,0
63,0
366,0
118,-0.46488287712254384
244,-3.052415958380475
268,-3.5771596301062227
455,0
350,0
414,-0.5750073513811038
354,-2.2682505203228702
436,0
440,-2.3000294055974613
5,-1.4478623893654001
112,-1.4486092398398394
364,0
269,0
110,0
406,-0.6599999984266018
407,0
21,0
177,0
261,-0.21655199548746745
446,-1.0221523079310795
291,0
174,0
460,0
473,0
95,0
372,0
221,0
253,-2.353990017934468
15,0
0,0
332,-48.847468105359894
400,0
186,0
271,0
387,0
7,-55.91081983239698
143,-0.6104831919457089
155,0
139,-0.46857983073876786
39,-1.2601391780989457
44,0
453,0
247,-0.9940703751167351
429,-0.7028697459564877
240,-1.0753660700038536
82,0
13,0
109,0
466,0
179,0
12,0
425,0
404,0
401,0
102,0
59,0
159,-60.04304591392348
395,0
111,0
161,-0.4471449566950963
187,0
431,-65.9999998542018
237,0
26,0
16,0
181,-1.0007174340196694
239,-58.73999976874224
314,0
421,0
209,-58.40596658249381
374,0
493,0
147,0
169,0
8,0
225,-0.4116691167892077
73,-1.66295798092099
226,0
321,0
74,-0.6459590328969451
352,0
265,0
349,0
3,-71.27999973131999
248,-0.41166911679929974
371,-0.4471449579157086
276,0
475,0
196,-1.5010761508840604
335,0
341,-2.5845829791143466
334,-3.1034264635553184
129,0
345,0
60,0
62,0
42,0
485,0
55,0
89,0
34,0
193,0
4,0
396,-0.7028697461922604
99,-1.192884450355746
295,0.04606366656852834
242,0.05391239934428489
382,-1.306705880589643
393,0
417,-2.9068156489644545
211,-1.6629579791444205
304,-0.42940703562713833
402,-4.301464282095788
210,0
19,0
101,0
277,-0.4826207959686011
293,-0.9652415939832327
448,0
28,-0.5003587171185964
235,-6.2171596394389175
467,-11.270338230605285
340,-0.44714495752239647
390,0
223,0
309,0
33,0
361,-0.32297951647330675
231,-0.44049789841391385
428,0
315,-2.382071952248569
10,-2.57644221838803
191,-0.3052415954587568
121,-0.30524159173764026
326,-0.37619327630532523
369,-1.288221109723396
138,-3.621523106078168
9,0
368,-0.9371596623383844
454,-0.48262079710118233
149,-3.737547782334512
94,0
215,0
378,-0.2875036758915425
468,0
217,0
437,-0.8625110279144442
490,0
238,0
339,0
337,-1.8314495750868485
232,0
25,-1.5047731040315346
447,0
491,0
24,0
313,-0.42940703741634595
202,-57.914495530704876
306,-60.059999541436426
398,-4.471449564298898
69,-1.4781848695021662
389,0
483,0
108,-1.7176281503598012
241,-3.578653351929303
433,-0.5535724785678702
220,-1.348828777790019
204,0
222,0
141,0
331,0
126,0
432,-59.47763591291591
274,-1.8595315102903438
66,0
104,-1.4375183810234524
465,-1.7176281462929819
323,0
124,0
355,-54.803674978170356
180,0
252,-1.575724782234619
456,0
61,-2.3820719493219253
300,0
119,0
322,0
154,0
320,0
376,-0.46488287694986485
168,-5.89418009423235
75,-0.4471449557598672
258,-2.1581260506414908
311,0
442,0
87,0
299,-67.97999963288824
178,-1.5262079785060523
37,-0.42940703728319907
445,0
386,0
451,0
52,0
459,0
57,-0.9689385482575577
207,0
360,0
164,-0.6814348739461331
329,0
77,-3.226098201942752
245,0
6,-78.5399995194686
403,0
79,-6.132913854495239
260,0
50,-0.9911202735369635
71,0
45,0
470,0
365,-0.4471449563209661
476,0
157,-0.9689385482894001
443,0
236,0
423,-2.5202783584435378
146,0
233,0
91,-2.257159657969122
430,-0.8942899137089699
206,-1.119729516853349
122,0
342,0
419,0
224,0
107,0
58,0
227,0
367,-1.437518379128251
471,0
338,0
228,-49.73727689528578
280,-0.44714495622974604
330,-56.54053465010923
136,0
289,0
452,0
38,-4.47144957292649
100,-54.77999968737431
418,-1.8595315095091807
479,0
32,-0.46488287695674146
283,0
383,0
81,0
