OFFID,Attractiveness
486,0
254,-100.12923956722886
464,0
31,0
52,0
75,0
357,-2.3177607152098707
9,0
436,0
453,0
97,0
239,-88.1178477264404
180,0
117,0
383,-0.939543168574764
175,-12.159323063768728
276,0
235,-11.608301414201165
87,0
155,-0.7142333402383201
364,0
226,0
136,0
1,0
447,0
469,-4.110743200277077
475,-0.5617242994267708
404,-0.28051515464633525
39,-2.8364403918125074
394,0
366,0
329,-0.27948257086498796
42,0
371,0
302,-3.310063546040303
221,0
55,0
413,0
378,-1.9312903182389556
420,-1.5753479574036804
266,-1.644252786632126
82,0
50,-1.1186215224103715
403,0
493,0
124,0
327,0
53,0
207,0
398,-4.384165453699168
428,0
260,-0.7086508206208161
15,0
62,0
57,-0.725814602581995
283,0
386,0
174,0
