OFFID,Attractiveness
240,-0.32654484955442326
154,0
406,-0.6451804698117334
12,-0.5702149160812865
488,0
84,-3.7452497764282455
429,-0.3048575114145359
431,-91.61529636333528
333,-5.166023734671999
462,0
450,0
280,-0.5578322715947446
440,-4.299834819708601
384,-0.3828635561802837
85,0
461,-0.42825723395858994
237,0
86,0
288,-2.053439578385068
114,0
345,0
145,0
353,0
142,-1.3198984537710334
441,-0.31619555823585854
494,0
196,0
490,0
198,0
47,-10.863866993086237
212,0
432,-73.05105530107926
49,0
90,-0.8380708640473111
103,0
202,-91.13792386826584
422,0
172,0
129,0
20,0
18,-2.9475888453052557
123,-119.19782452086919
417,-2.3630102823195696
36,0
335,0
437,-0.9270061359420945
351,0
157,-1.444445344633476
2,-0.6639748473580889
426,0
64,-140.00082373688429
126,0
135,0
301,-1.8399397183920287
291,0
315,-1.7655460586476128
411,-0.3528908768234178
478,-2.908134662870529
13,0
342,0
448,-0.43205929873745663
88,-3.2236788615951504
164,-0.49607859374938557
282,0
23,0
412,-0.9349259539534428
200,-1.7957095359638728
95,0
306,-120.78423600366453
83,-0.30771115174265795
360,-0.8988789404374045
130,0
467,-19.92502637341409
455,0
405,-0.579364407461882
261,0
92,-2.9276688877567074
482,0
243,0
400,0
374,0
122,0
241,-6.369296358318289
380,-0.7055650485305751
139,-0.5970603794149068
133,0
293,-1.595959721916754
459,0
108,-0.8889812338996823
418,-2.5275675301224947
7,-137.3641000452235
352,0
456,0
181,0
355,-141.8460826270265
227,0
25,-4.535734678262736
26,0
69,-5.1718382294194205
341,-2.2765743705701476
373,0
470,-0.5382785344785053
258,-1.6641079586666399
326,-0.44736425264430757
224,0
250,-0.8174702569447727
407,0
17,0
81,-0.6320615942715668
236,0
5,-5.511115245619924
438,0
359,0
336,-0.491163867286325
290,0
218,0
387,-0.34462579313586933
331,0
480,-0.3210021452275883
321,0
269,0
446,-1.2871310684113275
289,0
343,0
119,0
118,0
102,0
187,-0.7590351243250052
372,0
177,0
78,0
140,-0.8895949046794589
365,-1.0992124768183635
316,0
94,0
169,-0.4853582103731715
385,0
471,0
425,0
497,0
22,-2.028846330031542
32,-0.9324081524574657
143,0
391,0
414,-2.342321101664617
189,0
48,0
54,-2.636740065079422
137,-1.7963049481357882
495,0
397,0
298,0
183,-0.3878048417977432
354,-2.904821198107294
192,-3.038049087219919
215,0
19,0
317,0
233,0
379,-0.2694357341199039
367,-0.6693113045480079
101,0
247,-1.1896243616064464
45,0
313,0
77,-2.8110880268184144
270,0
338,0
451,0
179,0
304,0
415,0
10,-4.659705597536821
184,-2.865198284181299
489,0
162,0
468,0
334,-6.345680489554034
421,0
66,-0.47536098565106755
337,-1.324976161652479
225,0
107,0
43,-5.724580791825995
61,-2.944398784181951
265,0
292,0
223,-0.5206384264433941
395,0
262,0
259,-0.9526268152087196
309,0
460,0
349,0
214,-1.438027320988112
191,-0.40700559493214244
112,-3.5749541804389793
244,-3.7127311069743056
362,-0.4735237592512136
454,0
433,0
473,0
271,0
330,-115.09700169171767
91,-3.591721757509646
28,-1.092071895111082
491,0
110,0
58,0
127,0
38,-4.25191769214722
390,0
100,-115.72764385058288
272,0
34,0
70,-0.5440841913916592
35,0
382,-1.7178978290358538
37,0
368,-1.873289731553892
216,0
167,0
111,0
443,0
396,-0.8311659185070484
419,0
71,-0.4043817395177073
138,-3.959059293369632
41,-0.8020977506466757
165,-0.39580760726355685
284,0
483,0
193,-0.5210847010346932
466,0
308,0
217,0
40,0
210,0
6,-129.09781147859647
229,-2.9227784310987865
173,-2.578522369861512
430,-0.9691347499615051
76,0
147,0
146,0
4,0
220,-4.554692591298847
79,-7.647684403693909
104,-1.5973871452182058
410,-31.732412601830497
477,0
389,0
257,-4.366202870370895
105,0
476,0
303,0
314,0
168,-22.277645417512023
323,0
209,-104.15065199409251
30,-5.426102353359271
322,0
232,0
27,0
434,-2.3121169352825532
363,-1.471880009649652
496,-5.100022112514041
159,-99.28053536383534
479,0
134,0
263,0
72,0
350,-0.46771810233805966
278,0
65,-34.377295675119164
253,-1.6477037749932137
312,0
197,0
160,-0.41003919483129336
178,-3.0775537492464577
222,0
485,0
311,0
24,0
56,-1.644411216307775
60,0
161,0
211,-3.813187977598639
121,-1.0603398993701558
99,-2.5891579105420837
33,0
163,-3.310377172910349
457,0
0,-0.39135201328446007
463,0
67,0
376,-0.5024928723456557
442,0
131,-6.942390115345923
113,0
120,0
277,0
344,-13.681265174717993
452,0
109,0
416,0
252,-3.2040404785904295
116,0
44,0
8,0
361,0
285,-2.623666049301889
206,-2.397052737639624
3,-101.74999695941646
204,0
268,-6.042238412547247
427,0
255,0
300,0
74,-0.8167858691813583
369,-2.9541335057353324
248,-0.4365023465804448
287,-27.59588664760499
402,-3.402175553248922
458,0
339,0
393,-0.5146096322345902
325,0
73,-3.5260127587611194
423,-0.5263582958079678
340,-0.9451919523552206
63,0
182,0
275,0.2832092267331006
59,0
465,-1.976680483159462
29,0
401,0
89,0
21,0
16,0
281,0
274,-0.36180142918727987
484,0
231,-0.7891538533064453
320,-0.39135201328446
346,0
472,0
186,0
228,-99.96604526048883
149,-5.252615236883504
332,-102.09179695442089
93,-0.4574661946694422
141,-0.674081234573435
238,-0.6144214862364552
445,0
245,0
299,-123.00334962358372
