OFFs-ID,x-coordinate,y-coordinate,OFF-price,capacity
486, 116.763616266, 40.3601904489, 11000, 2
254, 116.4373946, 39.7069273837, 13000, 6
39, 116.033269485, 39.7673408481, 12963.011287624568, 7
167, 116.163557584, 39.737138262, 12000, 2
304, 115.994200755, 40.4505359281, 8000, 5
353, 116.215695511, 40.2899189035, 13000, 3
379, 116.189625065, 39.8075987121, 17942.789677004203, 5
224, 116.685313813, 40.0991292923, 13000, 2
339, 116.463486358, 40.0689931627, 20000, 3
177, 116.463486358, 39.8377834084, 20000, 4
238, 117.233289298, 40.1995577873, 10000, 2
187, 116.124462225, 40.1493479364, 14000, 5
416, 116.202659926, 39.6364009796, 12000, 2
383, 116.176590945, 40.0087080307, 20000, 5
117, 115.838020432, 40.0489001184, 14000, 5
61, 116.150524999, 39.9986586779, 14000, 8
357, 116.293923268, 40.2899189035, 11961.013798916701, 7
134, 116.881067745, 40.4505359281, 10000, 3
369, 116.385216198, 40.1192179163, 13880.997292990105, 7
483, 116.372172763, 40.1393049666, 13000, 4
179, 116.698364103, 39.9584555266, 11954.503646632436, 5
143, 116.333045531, 40.1895164372, 12921.320798599389, 7
400, 116.4373946, 40.1493479364, 13000, 4
446, 116.554818584, 40.0689931627, 12000, 7
228, 115.720997519, 40.0288051115, 9482.879751078177, 18
136, 116.959361845, 40.1493479364, 12000, 5
364, 115.968159904, 40.3702288901, 10000, 2
244, 115.981179821, 39.797535517, 13000, 8
172, 115.994200755, 39.6162412442, 13000, 4
198, 116.241768785, 39.6061597513, 13000, 2
206, 116.502626803, 39.7774065989, 12924.297187746797, 8
35, 117.272402659, 40.6513373056, 10000, 5
9, 116.293923268, 40.0388528672, 18000, 4
258, 116.489579637, 39.857902604, 20000, 7
58, 116.515674298, 40.2698401126, 10000, 3
252, 116.241768785, 40.4906905643, 8966.374259352573, 7
283, 116.241768785, 40.1192179163, 13000, 4
474, 116.372172763, 39.8880757723, 35000, 8
152, 116.411304501, 39.8075987121, 13000, -32
62, 116.868018032, 40.0689931627, 12000, 3
384, 116.502626803, 39.9785582781, 19974.276062980683, 6
115, 116.489579637, 39.5859934457, 14000, 0
277, 116.372172763, 40.4605744548, 8000, 5
65, 116.372172763, 39.6867820062, 14000, 0
247, 116.685313813, 39.7572742176, 11935.04790240193, 7
236, 116.346087412, 40.0087080307, 20000, 4
141, 116.333045531, 40.5609663578, 5950.656136974244, 4
103, 115.487294876, 39.7270689091, 13000, 3
460, 116.4373946, 39.7572742176, 14000, 5
46, 116.64616354, 40.0589468789, 13000, 0
71, 116.424349335, 39.6767078381, 12939.502404375837, 5
94, 116.750565796, 39.8478433905, 12000, 4
203, 116.346087412, 39.7774065989, 13000, 0
311, 116.215695511, 39.6565564739, 14000, 5
306, 115.825012834, 40.5408866786, 9027.086778808027, 13
463, 116.750565796, 40.3200359456, 8000, 3
394, 116.502626803, 40.1292616312, 13000, 6
299, 116.398260116, 40.1593905544, 12765.708292760557, 16
314, 116.502626803, 40.4003439928, 9000, 5
392, 116.489579637, 39.8075987121, 14000, 0
243, 115.994200755, 40.3099970656, 13000, 5
439, 116.463486358, 39.9986586779, 30000, 0
215, 116.215695511, 40.3401133727, 14000, 2
106, 116.306963441, 40.1593905544, 14000, 0
84, 117.089828303, 40.2095988551, 9878.577946746158, 8
104, 116.215695511, 40.0991292923, 15982.526731069058, 7
434, 116.25480644, 39.737138262, 12938.402517696037, 8
255, 116.607014521, 40.1192179163, 12934.80062772609, 3
223, 116.593965207, 39.8075987121, 14000, 4
208, 117.128960338, 40.0790389836, 11000, 0
99, 116.633113705, 40.1292616312, 11861.415601758174, 8
89, 116.528722105, 40.1593905544, 13000, 2
429, 116.033269485, 39.8176610831, 12000, 6
321, 116.26784475, 40.0388528672, 15947.805918886317, 4
479, 116.672263611, 40.0589468789, 13000, 4
391, 116.4373946, 39.8478433905, 18000, 2
342, 116.828868045, 40.1292616312, 13000, 4
174, 116.293923268, 40.3401133727, 13000, 3
427, 116.659213515, 40.410382333, 7948.074829975387, 2
64, 116.280883699, 39.6565564739, 13050.544840585044, 16
396, 116.541770206, 39.7472066935, 12000, 6
437, 116.659213515, 39.6364009796, 14000, 6
96, 116.411304501, 39.737138262, 13000, 22
138, 116.150524999, 39.857902604, 15842.740579621528, 9
45, 115.591101869, 39.857902604, 16000, 2
377, 116.137493207, 39.6867820062, 12000, 0
412, 116.150524999, 39.8880757723, 14000, 6
260, 116.985457875, 40.430459056, 12000, 5
290, 116.059320072, 39.7270689091, 12000, 4
452, 115.942123188, 40.5007294903, 12000, 3
188, 116.502626803, 39.9584555266, 25000, 7
67, 116.463486358, 39.9584555266, 20000, 4
316, 116.202659926, 40.2296801995, 13000, 2
280, 116.607014521, 40.3501519477, 10000, 5
182, 116.593965207, 39.918242524, 25000, 2
70, 116.150524999, 40.3300747099, 13000, 2
270, 116.241768785, 39.9484032343, 16000, 2
422, 116.841918165, 39.8377834084, 13000, 2
281, 116.554818584, 39.9484032343, 30000, 4
433, 116.4373946, 39.9383503123, 30000, 3
121, 116.280883699, 39.9484032343, 3857, 1
211, 115.994200755, 39.7270689091, 11956.897835260712, 9
257, 116.163557584, 39.9785582781, 13986.069712484901, 8
335, 115.981179821, 40.0589468789, 13932.903468830078, 3
55, 116.672263611, 39.8981320507, 12000, 3
147, 116.463486358, 40.3401133727, 8000, 2
87, 116.359129829, 39.4850919091, 13000, 5
348, 116.724464877, 39.8176610831, 13000, 0
284, 116.45044028, 40.4706130605, 11928.463037495381, 3
25, 117.142003378, 40.1593905544, 11000, 7
176, 116.398260116, 39.8377834084, 4258, 0
248, 116.424349335, 39.626321649, 14000, 5
209, 116.424349335, 40.1895164372, 12515.544849149426, 11
438, 116.802767517, 40.2798795936, 12000, 3
185, 116.489579637, 40.0087080307, 35000, 5
239, 116.228731803, 40.0790389836, 17510.16174014091, 13
127, 116.580916101, 40.2196396545, 12000, 2
334, 116.320004201, 39.5658226211, 13917.689932982878, 9
473, 116.241768785, 39.5759086053, 13932.903468830078, 3
197, 116.046294313, 40.1091738079, 14000, 2
448, 115.942123188, 39.7673408481, 13000, 5
393, 116.698364103, 40.0790389836, 12000, 3
116, 115.695006953, 39.7673408481, 13000, 2
471, 116.528722105, 39.7774065989, 14000, 5
242, 116.411304501, 39.9685072033, 30000, 4
139, 116.711414463, 40.1292616312, 12000, 6
249, 116.020245604, 39.6565564739, 12000, 0
74, 116.215695511, 39.8679610629, 15968.059725992916, 6
194, 116.502626803, 39.8981320507, 30000, 0
268, 116.150524999, 40.5007294903, 6036.342594623862, 8
14, 116.64616354, 39.857902604, 13000, 51
216, 116.25480644, 39.9986586779, 22000, 5
472, 116.293923268, 39.7069273837, 13000, 3
68, 116.098402761, 40.0991292923, 20000, 0
336, 116.45044028, 40.2196396545, 13000, 4
8, 116.841918165, 39.6968551834, 11932.803139018224, 2
44, 116.25480644, 40.0288051115, 3767.01996777361, 4
350, 116.4373946, 40.1192179163, 14000, 3
405, 116.750565796, 40.2095988551, 13000, 3
478, 116.306963441, 39.7572742176, 13970.87935715495, 8
389, 116.620064026, 40.0790389836, 13000, 3
419, 116.554818584, 39.8880757723, 25000, 2
480, 116.26784475, 39.9282967469, 17946.044753146332, 5
409, 116.26784475, 40.0890843555, 22000, -2
86, 116.163557584, 40.5710065174, 9000, 4
317, 116.320004201, 39.6867820062, 13917.71311350013, 2
148, 116.176590945, 40.1593905544, 14000, 0
493, 116.359129829, 40.0689931627, 13000, 4
310, 116.398260116, 39.7774065989, 14000, 0
135, 116.359129829, 39.8478433905, 5450.691843150251, 8
110, 115.929106424, 40.3802672852, 9000, 2
477, 116.724464877, 40.1593905544, 11930.633088256802, 2
345, 116.672263611, 40.2598004466, 11945.82344358675, 5
72, 115.942123188, 39.716998621, 13000, 2
119, 116.515674298, 39.7572742176, 12000, 3
259, 116.672263611, 40.1694328346, 13000, 7
217, 116.476532816, 39.9081876299, 35000, 1
312, 116.789717144, 39.7472066935, 12000, 2
226, 116.26784475, 39.9584555266, 22000, 2
365, 115.994200755, 40.5609663578, 10000, 5
190, 116.528722105, 40.0890843555, 14000, -27
131, 116.685313813, 40.0087080307, 11952.4083084933, 8
3, 116.306963441, 39.8176610831, 18257.45254068586, 16
387, 116.020245604, 39.878018781, 15000, 5
43, 116.607014521, 39.7472066935, 12927.273576894208, 8
301, 116.580916101, 39.8679610629, 19963.01913103751, 7
453, 116.489579637, 39.9986586779, 29937.111572753176, 3
7, 116.098402761, 40.3501519477, 5490.29878646639, 6
92, 116.633113705, 40.7618294292, 7485.782401259918, 18
37, 116.228731803, 39.8277226439, 18000, 5
15, 116.763616266, 39.878018781, 13000, 4
4, 116.463486358, 39.7774065989, 12855.49592550294, 2
237, 116.385216198, 39.5254669701, 12000, 4
54, 116.711414463, 39.7874714839, 12000, 7
126, 115.708001547, 39.5960771565, 13000, 2
351, 116.894117288, 40.6714231542, 10000, 2
363, 116.502626803, 40.3099970656, 9966.673711176643, 7
75, 116.776666722, 40.802022284, 8000, 5
90, 115.994200755, 39.857902604, 14000, 5
101, 116.633113705, 40.6412949026, 12000, 2
56, 116.64616354, 40.3099970656, 7956.91108127057, 8
120, 116.894117288, 40.2497605816, 10929.98524128516, 2
173, 116.528722105, 39.7069273837, 13950.613959789725, 9
48, 116.672263611, 40.0890843555, 13000, 4
81, 116.541770206, 40.5208077598, 10000, 2
376, 116.515674298, 40.2296801995, 12937.151516050963, 5
297, 116.124462225, 39.7472066935, 13000, 7
265, 116.554818584, 40.4404974664, 12000, 3
295, 116.150524999, 40.0689931627, 22000, 7
352, 116.515674298, 40.1995577873, 11930.633088256802, 2
425, 116.567867221, 40.2899189035, 9000, 2
23, 116.45044028, 39.878018781, 25000, 2
372, 116.711414463, 39.9282967469, 14000, 2
262, 116.920215793, 40.3300747099, 11000, 3
105, 116.881067745, 40.5609663578, 10947.888160066885, 4
447, 116.881067745, 40.3300747099, 10000, 2
170, 116.385216198, 40.0991292923, 13000, 0
332, 116.672263611, 39.8176610831, 11453.819621722389, 16
175, 116.567867221, 39.8981320507, 20000, 0
415, 116.881067745, 39.7673408481, 13000, 4
158, 116.098402761, 39.9484032343, 14000, 44
411, 116.293923268, 39.6666326653, 12000, 6
401, 116.372172763, 39.8176610831, 18000, 5
319, 116.385216198, 39.5859934457, 13000, 0
50, 116.280883699, 39.7874714839, 14000, 8
337, 116.215695511, 40.1493479364, 13000, 7
220, 116.672263611, 39.8880757723, 12944.82968184812, 8
250, 116.894117288, 40.2196396545, 13000, 5
303, 115.90307617, 39.8478433905, 13000, 2
346, 116.26784475, 39.64647925, 12937.151516050963, 3
229, 116.085374314, 40.0489001184, 15965.166324977688, 7
107, 117.011552673, 40.2798795936, 12000, 5
