OFFs-ID,x-coordinate,y-coordinate,OFF-price,capacity
329, 116.241768785, 40.2598004466, 13000, 5
455, 116.424349335, 39.9986586779, 25000, 5
170, 116.385216198, 40.0991292923, 13000, 0
78, 116.033269485, 39.9484032343, 13789.735551411102, 5
105, 116.881067745, 40.5609663578, 10947.888160066885, 4
422, 116.841918165, 39.8377834084, 13000, 2
302, 115.890062714, 39.7270689091, 10282.454192038718, 8
94, 116.750565796, 39.8478433905, 12000, 4
128, 116.528722105, 39.9383503123, 20000, 0
55, 116.672263611, 39.8981320507, 12000, 3
150, 116.607014521, 39.8880757723, 13000, 0
70, 116.150524999, 40.3300747099, 13000, 2
149, 116.607014521, 39.6666326653, 10422.817475452184, 8
334, 116.320004201, 39.5658226211, 11084.725281657267, 9
452, 115.942123188, 40.5007294903, 12000, 3
257, 116.163557584, 39.9785582781, 12100.094521520412, 8
326, 116.789717144, 40.0589468789, 11858.607618157153, 5
7, 116.098402761, 40.3501519477, 4039.5568736485034, 18
26, 116.737515327, 39.8478433905, 12937.151516050963, 3
356, 116.346087412, 39.8377834084, 18000, -374
169, 116.046294313, 39.857902604, 14000, 5
84, 117.089828303, 40.2095988551, 8676.145464391331, 8
324, 116.333045531, 39.9282967469, 30000, 0
102, 117.298474831, 40.1593905544, 10929.98524128516, 2
56, 116.64616354, 40.3099970656, 7211.883051517182, 8
62, 116.868018032, 40.0689931627, 12000, 3
438, 116.802767517, 40.2798795936, 12000, 3
258, 116.489579637, 39.857902604, 17786.44202274616, 7
342, 116.828868045, 40.1292616312, 13000, 4
474, 116.372172763, 39.8880757723, 35000, -32
385, 115.968159904, 39.6968551834, 12822.572477144135, 5
439, 116.463486358, 39.9986586779, 30000, 0
266, 116.320004201, 39.8176610831, 15408.650853313688, 7
111, 116.580916101, 40.3903056481, 12000, 2
121, 116.280883699, 39.9484032343, 3812.534236985766, 6
483, 116.372172763, 40.1393049666, 13000, 4
482, 116.64616354, 40.1192179163, 12000, 3
450, 116.4373946, 39.64647925, 14000, 3
338, 116.607014521, 40.430459056, 11926.292986733959, 2
390, 116.476532816, 39.626321649, 14000, 3
14, 116.64616354, 39.857902604, 13000, -514
131, 116.685313813, 40.0087080307, 9759.628259717161, 8
72, 115.942123188, 39.716998621, 13000, 2
20, 116.463486358, 40.1091738079, 13774.979999588835, 5
494, 116.789717144, 40.0288051115, 12000, 1
17, 116.776666722, 40.5609663578, 12000, 2
310, 116.398260116, 39.7774065989, 14000, 0
432, 116.554818584, 40.0288051115, 15906.114945847934, 18
453, 116.489579637, 39.9986586779, 29937.111572753176, 3
207, 116.293923268, 40.2598004466, 12810.271426852934, 5
176, 116.398260116, 39.8377834084, 4258, 0
5, 116.763616266, 40.4003439928, 9336.137667710376, 7
473, 116.241768785, 39.5759086053, 13932.903468830078, 3
412, 116.150524999, 39.8880757723, 13258.502219392954, 6
484, 116.841918165, 39.8075987121, 12859.110693685276, 5
275, 116.241768785, 39.8880757723, 15192.364958123128, 9
366, 116.607014521, 39.9282967469, 4904.587977932477, 1
373, 116.385216198, 39.64647925, 13723.46568573055, 5
221, 116.098402761, 40.6011284424, 8870.90207200464, 2
282, 116.202659926, 40.2095988551, 11710.317361290947, 5
267, 116.424349335, 40.0689931627, 14000, 0
240, 116.25480644, 39.8176610831, 15506.99303908113, 6
28, 116.789717144, 40.1995577873, 12164.375133751282, 5
343, 116.085374314, 39.5960771565, 11950.163545109594, 5
405, 116.750565796, 40.2095988551, 13000, 3
214, 116.554818584, 39.7572742176, 13504.203082434686, 6
353, 116.215695511, 40.2899189035, 13000, 3
66, 116.333045531, 39.7069273837, 12921.639306548204, 5
496, 116.359129829, 39.737138262, 10887.699252932412, 8
402, 116.280883699, 39.8277226439, 16995.37573879438, 8
53, 116.137493207, 39.7774065989, 17942.789677004203, 4
270, 116.241768785, 39.9484032343, 16000, 2
154, 116.64616354, 39.7673408481, 12730.972536569487, 5
119, 116.515674298, 39.7572742176, 12000, 3
294, 116.476532816, 39.9282967469, 30000, -13
141, 116.333045531, 40.5609663578, 5950.656136974244, 4
332, 116.672263611, 39.8176610831, 5864.355646321864, 16
460, 116.4373946, 39.7572742176, 13893.620192065115, 5
421, 116.228731803, 39.797535517, 13000, 3
19, 116.972410005, 40.3702288901, 10000, 3
107, 117.011552673, 40.2798795936, 11727.948091479495, 5
297, 116.124462225, 39.7472066935, 13000, -8
239, 116.228731803, 40.0790389836, 8965.202810952147, 13
286, 116.085374314, 39.8880757723, 14000, -29
377, 116.137493207, 39.6867820062, 12000, 0
410, 116.176590945, 40.0790389836, 11520, 12
423, 116.176590945, 39.857902604, 13695.367500142509, 7
35, 117.272402659, 40.6513373056, 9542.01171328623, 5
165, 116.398260116, 39.9484032343, 28223.719515563127, 6
204, 116.320004201, 39.9282967469, 4444, 4
69, 116.737515327, 39.9484032343, 10542.513504316163, 9
368, 116.463486358, 39.8075987121, 12753.884935029033, 7
37, 116.228731803, 39.8277226439, 17784.01432340079, 5
184, 116.776666722, 39.797535517, 11553.669517527773, 8
409, 116.26784475, 40.0890843555, 22000, -2
269, 116.515674298, 40.0087080307, 25000, 5
34, 116.241768785, 40.1493479364, 14000, 3
307, 116.372172763, 39.9282967469, 30000, -53
118, 116.241768785, 40.1995577873, 13804.491102079088, 4
331, 116.828868045, 40.3300747099, 10949.877373264855, 5
218, 116.4373946, 39.8377834084, 24373.765324837557, 5
285, 116.189625065, 39.9282967469, 12310.064857454641, 9
271, 116.306963441, 39.6666326653, 14000, 2
233, 116.346087412, 40.0489001184, 20000, 4
178, 116.150524999, 39.626321649, 10769.690014342923, 7
162, 116.698364103, 39.918242524, 12000, 4
406, 116.072346745, 39.9986586779, 14707.113670598263, 5
461, 116.411304501, 39.918242524, 29382.470763663256, 6
75, 116.776666722, 40.802022284, 7881.570680351877, 5
192, 116.033269485, 40.430459056, 6760.963682590633, 8
371, 116.411304501, 39.9383503123, 29706.151093135013, 3
319, 116.385216198, 39.5859934457, 13000, 0
232, 116.280883699, 40.0187568373, 19732.428176747395, 5
46, 116.64616354, 40.0589468789, 13000, 0
380, 116.293923268, 39.9986586779, 16645.05142418167, 6
395, 115.877050395, 40.1091738079, 15000, 2
246, 116.26784475, 40.1192179163, 3188, -52
99, 116.633113705, 40.1292616312, 10867.68943389221, 8
278, 116.176590945, 39.9584555266, 13723.465685730427, 5
50, 116.280883699, 39.7874714839, 12837.870079341299, 8
248, 116.424349335, 39.626321649, 13826.644158483356, 5
58, 116.515674298, 40.2698401126, 10000, 3
135, 116.359129829, 39.8478433905, 5226.719075228022, 2
493, 116.359129829, 40.0689931627, 13000, 4
321, 116.26784475, 40.0388528672, 15947.805918886317, 4
463, 116.750565796, 40.3200359456, 8000, 3
42, 116.189625065, 40.0489001184, 20000, 2
446, 116.554818584, 40.0689931627, 11135.250844181963, 7
488, 116.280883699, 39.8679610629, 20000, 3
470, 116.45044028, 39.5759086053, 14000, 2
330, 116.085374314, 39.6968551834, 4383.605819100018, 18
97, 116.476532816, 40.0489001184, 29946.855278762374, 5
208, 117.128960338, 40.0790389836, 11000, 0
185, 116.489579637, 40.0087080307, 35000, -7
244, 115.981179821, 39.797535517, 11342.122092715763, 8
202, 116.593965207, 40.2497605816, 8257.91111619672, 18
425, 116.567867221, 40.2899189035, 9000, 2
235, 116.306963441, 40.0689931627, 8699.8015226589, 9
200, 116.215695511, 39.9584555266, 18356.161818010583, 8
44, 116.25480644, 40.0288051115, 3767.01996777361, 4
8, 116.841918165, 39.6968551834, 11932.803139018224, 2
263, 116.920215793, 39.7874714839, 12000, 2
264, 116.333045531, 40.0991292923, 14000, 0
462, 116.189625065, 40.0087080307, 16000, 3
312, 116.789717144, 39.7472066935, 12000, 2
106, 116.306963441, 40.1593905544, 14000, 0
182, 116.593965207, 39.918242524, 25000, 2
477, 116.724464877, 40.1593905544, 11930.633088256802, 2
303, 115.90307617, 39.8478433905, 13000, 2
344, 116.593965207, 40.1995577873, 8735.54622505768, 10
497, 116.059320072, 39.6767078381, 11924.122935972538, 2
222, 116.802767517, 40.430459056, 11000, 3
348, 116.724464877, 39.8176610831, 13000, 0
39, 116.033269485, 39.7673408481, 12230.677067929997, 7
209, 116.424349335, 40.1895164372, 6787.567771443677, 25
426, 116.424349335, 39.5759086053, 14000, 3
355, 116.346087412, 40.3401133727, 4830.583649809288, 18
238, 117.233289298, 40.1995577873, 10000, 2
333, 116.724464877, 40.2497605816, 9568.29388755549, 8
451, 116.320004201, 40.0087080307, 16000, 4
18, 116.176590945, 39.6968551834, 12258.468872533786, 8
134, 116.881067745, 40.4505359281, 10000, 3
236, 116.346087412, 40.0087080307, 20000, 4
86, 116.163557584, 40.5710065174, 9000, 4
454, 116.476532816, 40.2598004466, 12808.646432687769, 5
434, 116.25480644, 39.737138262, 11857.384131502831, 8
433, 116.4373946, 39.9383503123, 29611.09425665453, 3
467, 116.541770206, 39.857902604, 13149.685698351022, 12
272, 116.4373946, 39.9785582781, 20000, 4
447, 116.881067745, 40.3300747099, 10000, 2
31, 116.828868045, 40.1694328346, 4540.984348564103, 3
103, 115.487294876, 39.7270689091, 13000, 3
339, 116.463486358, 40.0689931627, 20000, 3
2, 116.306963441, 39.857902604, 21602.380841318856, 7
4, 116.463486358, 39.7774065989, 12855.49592550294, 2
73, 116.346087412, 40.1292616312, 11313.055310641279, 9
190, 116.528722105, 40.0890843555, 14000, -17
157, 116.698364103, 39.6767078381, 12527.91759290609, 6
93, 116.385216198, 39.8478433905, 15942.019116855861, 4
212, 115.877050395, 39.8880757723, 14000, 3
112, 116.111432071, 39.7270689091, 11019.611157525984, 8
429, 116.033269485, 39.8176610831, 11165.338231464202, 6
265, 116.554818584, 40.4404974664, 12000, 3
295, 116.150524999, 40.0689931627, 21876.865214502082, -31
301, 116.580916101, 39.8679610629, 19329.88189801415, 7
427, 116.659213515, 40.410382333, 7948.074829975387, 2
442, 116.150524999, 40.1091738079, 20000, 2
216, 116.25480644, 39.9986586779, 22000, 5
337, 116.215695511, 40.1493479364, 11544.66844701756, 7
183, 116.828868045, 39.7572742176, 12141.775463432394, 6
340, 116.385216198, 40.0388528672, 19758.56707949001, 5
360, 116.085374314, 40.1995577873, 11770.096214115794, 5
82, 115.90307617, 40.4906905643, 9000, 3
211, 115.994200755, 39.7270689091, 10756.305762615337, 9
281, 116.554818584, 39.9484032343, 29674.442912230443, 4
457, 116.385216198, 39.8176610831, 16000, 2
487, 116.4373946, 39.8679610629, 35000, 0
225, 116.280883699, 40.2196396545, 13746.123565251384, 5
354, 116.215695511, 39.716998621, 11906.615669939678, 8
89, 116.528722105, 40.1593905544, 13000, 2
400, 116.4373946, 40.1493479364, 13000, 4
189, 116.907166643, 40.4003439928, 9659.540880354642, 5
175, 116.567867221, 39.8981320507, 12800, 12
280, 116.607014521, 40.3501519477, 9404.104855202491, 5
196, 117.155045904, 40.3099970656, 11109.854869923362, 5
362, 116.541770206, 39.6767078381, 13000, 3
398, 116.789717144, 39.6565564739, 9822.585118226476, 8
197, 116.046294313, 40.1091738079, 14000, 2
336, 116.45044028, 40.2196396545, 13000, 4
