OFFID,Attractiveness
493,0
427,0
143,-0.3027757502579618
471,0
7,-1.0699430174751472
126,0
334,-1.5988605103820739
468,0
315,-1.0673484427838729
394,0
100,-20.45999990847542
38,-2.2427290225362126
280,-0.8913308977022277
225,0
451,0
189,-0.4635266612717279
136,0
410,-5.7314186053907425
298,0
169,0
223,0
113,0
161,-0.44566544928854296
352,0
417,-0.24832725357509755
191,0
99,-0.3912169513024081
139,-0.4983842257899591
60,-1.0342205968560862
442,0
12,-0.3920818122328589
272,0
119,0
202,-21.66245432148528
302,-1.6031848123954089
120,0
306,-23.0999998614215
210,0
404,0
93,0
215,0
412,-0.2670533256045171
295,0
390,0
224,0
483,0
426,0
494,0
372,0
367,-1.4245726893892416
25,-0.19560847553035549
312,0
159,-19.47071435441031
211,-0.6378144821692799
74,-0.1420248390333545
4,0
31,-6.844867740592296
287,-3.352417907320035
454,0
323,0
33,0
36,0
192,-1.1192023484615599
396,0
91,-0.4269393765261678
207,0
368,-0.7475763393830256
77,-0.6769963493658226
90,0
332,-16.39772093260674
50,-0.8504193117300245
274,-0.46352666245796775
37,0
282,0
325,0
121,0
184,-0.47965815301551784
406,0
129,-0.3920818122475458
447,0
221,0
386,0
437,-0.5698290759568938
236,0
266,-2.2453236013904583
155,0
187,0
163,-1.3879854032434245
230,4.652796283115016
73,-0.8844120139353572
313,0
330,-16.475219779952724
84,-1.1396581486778192
423,-1.3352666286438952
436,-0.374220600161028
339,0
229,-0.30277575059133993
285,-0.7075296123948852
450,0
353,0
162,0
8,0
22,-0.5332417903300908
462,0
75,0
1,-0.3563593875840623
365,0
97,0
110,0
141,0
116,0
418,-0.9270533245640704
193,0
415,0
366,0
177,0
87,-0.35635938744506285
284,0
78,0
17,0
373,0
463,0
491,0
470,0
391,0
134,0
81,0
397,0
378,-0.2849145378719868
260,0
13,0
168,-3.209829053557115
179,0
316,0
123,-16.475219772484976
464,-0.7475763390545456
252,-0.4983842244224689
258,-0.9083272525373344
59,0
157,0
469,-1.494287817110321
112,-0.3554945266000055
9,0
182,0
425,0
456,0
327,0
304,0
395,0
241,-1.7774726342873621
254,-17.972967103250085
3,-21.119999937286252
70,0
402,-2.3694872297535086
216,0
364,0
149,-1.4245726886890528
486,0
490,0
343,0
140,-1.1736508580160894
183,-1.122661799391888
18,-0.24832725256958998
276,0
314,0
89,0
27,0
477,0
460,0
438,0
329,0
26,0
6,-27.719999866395945
336,0
331,0
350,0
21,0
263,0
72,0
369,-2.4596581473703085
434,-0.6208181311792393
277,0
281,0
105,0
495,0
42,0
271,0
398,-0.6939927013695129
354,-0.1045726929035038
289,0
419,0
200,-0.4796581550944199
15,0
172,0
259,-0.5341066508496222
342,0
16,0
278,0
374,0
357,-0.5341066505732494
117,-0.8198860494928866
196,-0.4992490864683993
71,0
303,0
341,-0.925323602998412
476,0
317,0
308,0.043222152145019524
445,0
227,-0.4813878734280665
47,-23.218974276736493
111,0
20,-0.32063696279279064
485,0
127,0
346,0
242,0
457,0
414,-0.2849145376902621
48,0
432,-18.24347990732879
422,0
124,0
204,0
82,0
349,0
461,0
64,-28.379999882241794
138,-1.5997253731521714
145,-0.3027757505047642
181,-0.32063696251526197
24,0
164,0
344,-1.7042980609345937
28,-0.9984981731750829
63,0
479,0
269,0
231,-0.42520965484741824
239,-15.598290721500078
0,0
212,0
102,0
237,-0.5171102988492319
401,-0.6412739262883294
66,0
133,0
290,0
39,-0.24919211306673095
55,0
135,0
389,0
480,-0.8198860502386784
247,-1.1736508537780044
240,0
484,0
