OFFID,Attractiveness
416,0
202,-21.662454321513792
402,-2.369487229947871
105,0
82,0
433,0
413,0
384,0
200,-0.47965815511583526
338,0
131,-1.3352666259363966
287,-3.3524179091144024
130,-0.5349715115259035
184,-0.479658153052849
87,-0.356359387455071
459,0
240,0
423,-1.3352666287498454
420,-0.7484411998803489
456,0
116,0
198,0
100,-20.45999990869398
356,13.306452376790585
192,-1.1192023487153475
426,0
277,0
472,0
346,0
189,-0.4635266612863351
127,0
449,3.163210806303952
44,0
39,-0.2491921130755072
134,0
405,0
112,-0.3554945266179817
133,0
7,-1.0699430175912004
124,0
496,-1.424572688989256
216,0
374,0
271,0
389,0
421,0
414,-0.2849145376977891
211,-0.6378144822786753
108,-0.9270533253844905
385,-0.2670533254863031
278,0
302,-1.6031848125606196
33,0
386,0
301,-0.3027757508944975
442,0
63,0
268,-1.7826617879349569
261,0
295,0
94,0
467,-4.443681600032992
300,0
88,-0.3384981748507193
407,0
395,0
64,-28.379999882327656
412,-0.267053325611688
303,0
137,-0.8011599770296928
247,-1.1736508539323378
464,-0.7475763391079637
379,0
394,0
336,0
306,-23.099999861616396
214,-0.7127187751515007
270,0
454,0
312,0
18,-0.24832725258710853
55,0
332,-16.397720932723562
477,0
327,0
103,0
448,-0.7484411996850684
359,0
283,0
38,-2.2427290228029535
117,-0.8198860495245621
168,-3.2098290544253176
220,-1.602319952224034
489,0
93,0
226,0
157,0
62,0
373,0
212,0
172,0
221,0
458,0
161,-0.4456654493000576
206,-0.6190884100793976
120,0
329,0
272,0
225,0
154,-0.40994302465790944
376,0
177,0
450,0
337,-0.6412739252098156
362,0
136,0
430,0
293,-0.5332417903310062
323,0
232,-0.24919211370732408
187,0
228,-21.718632476621725
341,-0.9253236030812146
387,-0.35635938770471437
2,0
196,-0.4992490864836904
20,-0.3206369627996726
475,0
32,0
335,0
111,0
291,0
47,-23.21897427737367
143,-0.3027757502670992
135,0
107,-0.44566544930033064
11,5.215769806741744
230,4.652796283115016
179,0
468,0
74,-0.14202483904034868
432,-18.24347990745722
224,0
193,0
8,0
275,-0.6326253242981987
75,0
350,0
104,-0.14115997888958987
158,17.121243474749622
26,0
382,-0.2840496773779564
371,0
24,0
462,0
16,0
101,0
281,0
183,-1.1226617994723274
165,-0.9270533256827886
182,0
410,-5.731418607530067
245,0
470,0
321,0
235,-3.0277575003709942
37,0
223,0
164,0
406,0
22,-0.533241790369193
218,-0.3027757511318774
5,-1.4441636212774691
380,-0.8198860502378327
411,-0.5698290754025626
23,0
118,0
89,0
91,-0.42693937654687203
343,0
181,-0.3206369625273851
110,0
255,0
21,0
119,0
73,-0.884412014169026
309,0
99,-0.3912169513249111
72,0
14,34.98876464508069
197,0
425,0
479,0
345,0
378,-0.28491453788004356
241,-1.7774726346373295
315,-1.0673484428862707
52,0
269,0
97,0
366,0
404,0
79,-0.14115997885114184
429,-0.9253236020067128
142,-0.40994302449787323
311,0
71,0
83,-0.6404090658365463
149,-1.4245726888468506
331,0
360,-0.37422059971655924
480,-0.819886050265112
180,0
308,0.043222152145019524
237,-0.5171102988669206
56,-0.5315120634546638
81,0
357,-0.5341066506068269
396,0
35,-0.8913308977666323
69,-0.7959708114314229
483,0
316,0
175,-5.254919050116866
244,-0.2849145378399924
90,0
