people-ID,x-coordinate,y-coordinate
17698, 116.4895796, 39.90818763
23561, 116.5026268, 40.00870803
37210, 116.2287318, 39.89813205
29334, 115.9421232, 39.60615975
34471, 116.2808837, 39.90818763
32673, 116.3330455, 40.06899316
14618, 116.4373946, 40.16943283
29758, 116.0853743, 39.7774066
20840, 116.4243493, 39.89813205
25967, 116.5287221, 40.05894688
35779, 116.1374932, 40.26984011
27274, 116.6853138, 39.9685072
32279, 116.2678448, 40.01875684
20030, 116.2808837, 39.95845553
23148, 116.5678672, 39.73713826
18297, 116.8419182, 40.46057445
17028, 116.4765328, 39.98860877
18933, 116.3200042, 39.76734085
17849, 116.5417702, 39.80759871
21125, 116.3200042, 39.76734085
28564, 116.4504403, 39.91824252
19354, 115.9160907, 39.71699862
25347, 116.3069634, 40.05894688
33741, 116.4243493, 39.91824252
17560, 116.1374932, 39.75727422
24971, 116.3200042, 40.05894688
37075, 116.6853138, 40.05894688
33746, 116.3591298, 39.99865868
17908, 116.3200042, 39.69685518
26455, 116.3852162, 39.90818763
23966, 116.2548064, 39.86796106
33067, 116.4765328, 40.04890012
32239, 116.3982601, 39.88807577
20267, 116.2287318, 39.93835031
23766, 116.2287318, 39.97855828
15848, 116.4765328, 39.73713826
25779, 115.8510292, 39.74720669
28972, 116.5156743, 39.9685072
16205, 116.3460874, 39.8579026
25566, 116.3852162, 40.09912929
34554, 116.3330455, 39.67670784
19054, 116.2939233, 39.91824252
31519, 116.2939233, 39.98860877
21237, 116.8419182, 40.34011337
29176, 116.3069634, 40.09912929
15269, 116.620064, 39.86796106
14714, 115.9811798, 39.9685072
33347, 116.4765328, 40.02880511
18878, 116.5417702, 40.14934794
27789, 116.5809161, 40.00870803
27541, 116.2417688, 40.20959886
27020, 115.9811798, 39.72706891
35485, 116.1765909, 39.79753552
21583, 116.1635576, 40.10917381
19047, 116.3721728, 40.02880511
22847, 116.3200042, 39.75727422
35124, 116.3982601, 39.97855828
26522, 116.5287221, 39.8579026
23507, 116.4113045, 39.86796106
22448, 116.2417688, 40.07903898
16307, 116.3591298, 40.05894688
29153, 116.1635576, 40.20959886
16445, 116.2156955, 39.90818763
15930, 116.5026268, 39.95845553
32894, 116.7766667, 40.24976058
20142, 116.5156743, 40.07903898
21089, 116.3591298, 40.06899316
