RFs-ID,x-coordinate,y-coordinate,House-price,House-rent,capacity
1440, 116.150525, 39.92829675, 51839, 763, 6
1387, 116.3591298, 39.79753552, 51620, 759, 0
186, 116.3069634, 39.81766108, 64787, 907, 1
1228, 116.3069634, 39.93835031, 119776, 1693, 3
1247, 116.2939233, 39.72706891, 39560, 582, 14
440, 116.3982601, 40.04890012, 59569, 834, 2
1133, 116.6853138, 40.05894688, 41149, 576, -5
1507, 116.5809161, 39.95845553, 61322, 858, -7
1310, 116.4634864, 39.82772264, 48748, 709, 21
407, 116.3069634, 39.79753552, 68773, 962, 0
301, 116.3591298, 39.91824252, 247826, 3469, 0
16, 116.1896251, 39.66663267, 52484, 757, 17
1360, 116.4243493, 39.76734085, 40945, 573, -4
34, 116.4895796, 39.87801878, 103078, 1443, 1
693, 116.5678672, 39.86796106, 57002, 798, -2
789, 116.3591298, 39.95845553, 117454, 1644, 1
302, 116.2808837, 39.82772264, 33471, 493, 8
585, 116.7244649, 40.00870803, 37374, 523, -2
1221, 116.0462943, 39.97855828, 28800, 403, -9
336, 116.2548064, 40.15939055, 62448, 874, 0
1500, 116.3200042, 39.81766108, 52495, 765, 45
755, 116.6592135, 40.36019045, 28506, 415, 16
625, 116.2287318, 40.08908436, 70419, 996, 0
1915, 116.7375153, 39.89813205, 139888, 1978, 5
459, 116.5026268, 39.90818763, 70928, 992, 16
1835, 116.2026599, 39.75727422, 53678, 782, 12
1018, 116.2678448, 40.04890012, 105916, 1483, 0
1552, 116.3069634, 39.59607716, 52401, 763, 2
593, 116.6592135, 39.86796106, 43159, 628, 8
70, 116.150525, 39.72706891, 24641, 358, 25
1175, 116.3982601, 40.26984011, 23548, 339, 7
175, 116.1765909, 40.20959886, 40560, 567, -9
1166, 116.150525, 40.05894688, 72481, 1015, 16
900, 116.5026268, 40.40034399, 25585, 362, 4
437, 116.828868, 40.07903898, 28345, 409, 30
1776, 116.6070145, 39.83778341, 20327, 298, 12
681, 116.6853138, 40.20959886, 49500, 699, 19
573, 116.1896251, 40.14934794, 59501, 841, 29
709, 116.5809161, 39.92829675, 55586, 794, 5
1179, 116.2939233, 39.54564717, 26284, 386, 23
47, 116.4504403, 40.10917381, 47297, 682, 48
1543, 116.5026268, 40.17947479, 31126, 435, 0
225, 116.2287318, 39.90818763, 33042, 481, 74
1044, 116.3591298, 39.80759871, 109609, 1534, 25
125, 116.3591298, 40.02880511, 97110, 1373, 8
1059, 116.7505658, 39.93835031, 35206, 518, 41
421, 116.3721728, 40.02880511, 100825, 1425, 5
1780, 116.2808837, 39.9685072, 189386, 2651, 8
1316, 116.4765328, 39.91824252, 86657, 1226, 4
1086, 116.6853138, 39.86796106, 45127, 664, 9
165, 116.0202456, 39.87801878, 34816, 507, 7
1620, 116.3852162, 40.00870803, 123809, 1732, -8
664, 116.1896251, 39.92829675, 63965, 896, 20
532, 116.4113045, 39.84784339, 29080, 423, 16
781, 116.4504403, 39.89813205, 115804, 1621, -7
28, 115.5911019, 39.63640098, 32178, 459, 4
519, 116.620064, 39.95845553, 35514, 517, 28
338, 116.6983641, 40.07903898, 40331, 576, 8
98, 116.620064, 40.17947479, 35566, 518, 14
1409, 116.150525, 39.74720669, 31268, 460, 11
1822, 116.3069634, 40.10917381, 70028, 980, 6
1457, 116.1244622, 40.15939055, 42740, 598, -2
793, 116.1635576, 39.78747148, 33313, 481, 14
932, 116.3200042, 39.63640098, 18079, 260, 22
1762, 116.2678448, 39.76734085, 42368, 592, -7
1927, 116.8810677, 39.69685518, 25344, 373, 12
1469, 116.5939652, 39.9685072, 60709, 858, 11
557, 116.0332695, 40.42042068, 26842, 394, 9
957, 116.3330455, 39.79753552, 47669, 702, 14
224, 115.695007, 39.60615975, 32178, 459, 18
373, 116.4634864, 40.2296802, 35082, 516, 9
1610, 116.5809161, 39.82772264, 25255, 354, -8
1029, 116.4634864, 39.72706891, 120149, 1682, 1
622, 116.4765328, 39.7774066, 54508, 778, 3
156, 116.5678672, 39.89813205, 45351, 667, 10
1418, 116.4243493, 39.80759871, 43441, 633, 30
417, 116.3721728, 39.9685072, 46810, 655, -32
127, 116.9071666, 40.46057445, 13543, 189, 0
321, 116.1896251, 39.83778341, 47670, 694, 44
556, 116.7375153, 39.7774066, 24017, 354, 9
554, 116.2678448, 39.86796106, 57462, 804, 5
923, 115.955141, 39.65655647, 29120, 428, 18
682, 116.2417688, 40.20959886, 26611, 384, 20
966, 116.2156955, 40.21963965, 33022, 462, -21
1443, 116.2808837, 40.02880511, 108222, 1515, -10
66, 116.1635576, 40.20959886, 40560, 567, -16
1032, 116.4895796, 39.95845553, 88205, 1234, 0
647, 116.3069634, 39.78747148, 39740, 579, 13
1538, 116.4895796, 39.67670784, 23039, 322, -25
1508, 116.7114145, 40.19955779, 34801, 487, 0
1681, 116.2287318, 39.91824252, 82135, 1149, 2
1578, 116.2548064, 39.93835031, 164788, 2307, 29
1704, 116.4634864, 39.95845553, 29707, 424, 9
140, 116.2156955, 39.86796106, 48617, 708, 32
1014, 115.9421232, 39.63640098, 13555, 195, 0
101, 116.150525, 39.81766108, 54653, 765, 0
483, 116.4765328, 39.86796106, 66145, 926, 4
1590, 116.3200042, 39.74720669, 47000, 692, 7
565, 116.5287221, 39.9685072, 127612, 1786, 0
1061, 116.1374932, 39.9685072, 41059, 604, 12
579, 116.6722636, 39.91824252, 64655, 904, 22
1227, 116.2548064, 39.9685072, 74048, 1047, 1
641, 116.5026268, 39.83778341, 49722, 710, 29
1597, 116.1374932, 39.88807577, 54428, 762, 10
242, 116.150525, 39.63640098, 15948, 235, 17
320, 116.3591298, 39.94840323, 113970, 1596, 37
1973, 115.9681599, 39.71699862, 20981, 308, 12
376, 116.3591298, 39.76734085, 36417, 536, 33
673, 116.0853743, 39.74720669, 58517, 836, 8
1937, 116.6592135, 39.87801878, 45110, 663, 12
954, 116.5417702, 39.90818763, 58786, 823, 29
536, 115.9421232, 39.60615975, 13692, 195, 0
332, 116.2808837, 39.62632165, 17935, 264, 22
1912, 116.5939652, 39.90818763, 50825, 740, 12
504, 116.7505658, 40.11921792, 30586, 432, 15
493, 116.2939233, 39.92829675, 154038, 2156, 24
1413, 116.5548186, 40.38026729, 25843, 362, -17
829, 116.0593201, 39.98860877, 27927, 398, 14
1467, 116.2678448, 39.73713826, 41600, 582, -6
36, 115.9030762, 39.95845553, 14630, 206, 0
1329, 116.3852162, 40.06899316, 62119, 870, 0
381, 116.2939233, 40.02880511, 145846, 2041, 1
637, 116.150525, 40.10917381, 50096, 729, 6
1281, 116.3721728, 39.91824252, 197182, 2760, 7
1642, 116.3330455, 39.90818763, 160376, 2244, -5
529, 116.828868, 40.47061306, 18115, 253, -12
473, 116.2808837, 39.88807577, 119051, 1666, 0
676, 116.4373946, 39.58599345, 36887, 516, -4
1974, 116.3721728, 39.8579026, 64165, 898, 11
649, 116.6983641, 40.42042068, 19280, 280, 13
32, 116.2156955, 39.99865868, 83847, 1185, 14
1277, 116.5417702, 39.74720669, 41588, 582, -3
1547, 116.2678448, 39.92829675, 44356, 652, 6
68, 116.3069634, 40.05894688, 116475, 1647, 1
150, 116.6461635, 39.74720669, 31391, 452, 5
632, 116.3852162, 39.92829675, 169993, 2379, 23
546, 116.2808837, 40.24976058, 31093, 453, 17
860, 115.9421232, 39.70692738, 23592, 346, 26
1081, 116.7505658, 40.05894688, 60620, 848, 1
791, 116.5417702, 39.75727422, 42623, 615, 18
340, 116.3330455, 39.78747148, 45705, 666, 26
71, 116.6853138, 39.73713826, 30054, 429, 15
468, 116.2287318, 40.02880511, 69212, 968, 0
1663, 116.2939233, 39.66663267, 23516, 339, 3
5, 116.1244622, 39.79753552, 43216, 624, 52
386, 116.3721728, 40.15939055, 28172, 398, 1
1856, 116.5026268, 40.00870803, 66838, 945, 1
731, 116.3591298, 39.89813205, 261216, 3657, 6
916, 116.2156955, 40.08908436, 70419, 996, 0
1963, 116.828868, 40.45053593, 23162, 337, 12
40, 116.6070145, 39.62632165, 28092, 409, 21
254, 116.0723467, 39.68678201, 36160, 532, 19
1472, 116.620064, 39.87801878, 73318, 1026, 3
1035, 116.5548186, 40.00870803, 123116, 1723, -1
1562, 116.1114321, 39.8579026, 28092, 409, 11
678, 116.9593618, 40.43045906, 19732, 284, 8
1263, 116.1765909, 39.72706891, 47753, 682, 41
363, 116.5026268, 39.75727422, 75070, 1050, 16
1884, 116.4634864, 40.01875684, 105478, 1477, 0
1893, 116.2678448, 40.12926163, 40046, 583, 12
1185, 116.6461635, 39.83778341, 40563, 573, 12
18, 116.2417688, 40.35015195, 58405, 834, 1
1586, 116.4895796, 40.16943283, 36638, 512, -25
1073, 116.0853743, 39.89813205, 25963, 367, 1
729, 115.8120065, 39.86796106, 19315, 270, -1
1616, 116.2156955, 40.13930497, 65926, 922, 1
1640, 116.1635576, 39.93835031, 123193, 1724, -21
80, 116.5548186, 39.99865868, 123116, 1723, 1
1941, 116.4895796, 39.88807577, 103078, 1443, 0
12, 116.4504403, 39.94840323, 126619, 1772, 32
251, 116.7114145, 40.80202228, 17843, 262, 15
1267, 116.2026599, 39.9685072, 72047, 1008, 1
1705, 116.2939233, 39.8579026, 82598, 1156, -2
716, 116.1765909, 39.84784339, 38451, 560, 17
1419, 116.3982601, 40.07903898, 47017, 685, 8
305, 116.0462943, 40.03885287, 17947, 264, 8
