RFs-ID,x-coordinate,y-coordinate,House-price,House-rent,capacity
382, 116.8027675, 40.04890012, 46647, 666, 16
12, 116.4504403, 39.94840323, 126619, 1772, 32
0, 116.5548186, 39.76734085, 62166, 878, 30
1260, 116.8419182, 40.34011337, 32708, 458, -1
1266, 116.3460874, 39.93835031, 76154, 1065, 3
524, 115.9291064, 39.70692738, 15160, 216, 23
518, 116.5939652, 40.04890012, 43777, 625, 4
1889, 116.0853743, 39.87801878, 23516, 328, 12
883, 116.5809161, 40.03885287, 32535, 464, 11
1854, 116.7505658, 40.07903898, 46647, 666, 12
1684, 116.5156743, 40.14934794, 63305, 895, 6
100, 117.2593655, 40.19955779, 21902, 309, 19
1896, 116.4504403, 39.90818763, 88777, 1243, 9
339, 116.2808837, 39.95845553, 170470, 2387, 115
1513, 116.4113045, 39.99865868, 57360, 802, 1
77, 116.3982601, 39.99865868, 171452, 2400, 5
401, 116.1635576, 40.14934794, 39634, 554, 0
1951, 116.2287318, 40.00870803, 121630, 1702, 12
837, 116.2808837, 39.73713826, 40772, 582, 13
187, 116.4765328, 39.61624124, 23039, 322, -8
1071, 116.5678672, 40.03885287, 72074, 1009, -4
697, 116.0593201, 39.68678201, 18243, 258, 2
1906, 116.0853743, 40.53084713, 23930, 338, 12
1860, 116.2287318, 39.87801878, 63292, 885, 12
1602, 116.4373946, 39.76734085, 47988, 672, 34
1652, 116.3982601, 39.91824252, 136670, 1913, 50
591, 116.2939233, 39.89813205, 123883, 1734, 0
804, 116.6592135, 40.06899316, 35495, 507, 20
1557, 116.4634864, 40.08908436, 47775, 682, 19
1559, 116.6983641, 39.89813205, 69894, 978, 0
311, 115.8770504, 40.47061306, 25327, 354, -8
1178, 116.1244622, 39.94840323, 36898, 522, 16
32, 116.2156955, 39.99865868, 84694, 1185, 16
1686, 116.4113045, 40.06899316, 51488, 721, -5
1338, 116.5417702, 39.91824252, 56084, 784, -6
151, 116.9071666, 40.65133731, 14633, 205, -6
1420, 116.5026268, 39.67670784, 22809, 322, 1
849, 116.4243493, 39.69685518, 26449, 374, 7
1190, 116.2026599, 40.13930497, 60102, 841, 1
1208, 116.6592135, 39.98860877, 57982, 811, 13
1319, 116.7114145, 39.76734085, 30665, 429, 9
167, 116.2678448, 40.15939055, 45267, 639, 17
186, 116.3069634, 39.81766108, 64787, 907, 0
549, 116.4373946, 40.14934794, 47678, 681, 4
1757, 116.3852162, 39.93835031, 173744, 2432, 16
624, 116.7766667, 39.90818763, 36284, 518, 5
1915, 116.7375153, 39.89813205, 139888, 1978, 11
503, 116.3069634, 39.92829675, 147916, 2071, -1
1958, 116.2548064, 40.13930497, 32842, 464, 12
1389, 116.3721728, 40.09912929, 36673, 518, 16
128, 116.3460874, 40.10917381, 73447, 1028, 28
1911, 116.4895796, 39.8579026, 72344, 1012, 0
1475, 116.2156955, 39.91824252, 63396, 888, 2
90, 116.4113045, 40.05894688, 45116, 631, 10
426, 116.1765909, 40.2296802, 40154, 567, 22
244, 116.5417702, 40.18951644, 45781, 648, 20
297, 116.3460874, 39.9685072, 142151, 1989, 23
490, 116.5026268, 39.8579026, 61182, 856, -9
980, 116.1114321, 39.62632165, 17582, 246, -4
819, 116.3460874, 39.71699862, 35823, 511, 19
647, 116.3069634, 39.78747148, 40546, 579, 11
1156, 116.4373946, 40.16943283, 48646, 681, 1
5, 116.1244622, 39.79753552, 44094, 624, 52
1388, 116.620064, 39.65655647, 24610, 351, 32
1835, 116.2026599, 39.75727422, 54768, 782, 12
232, 116.7897171, 40.08908436, 30895, 432, 27
830, 116.6983641, 39.86796106, 46279, 654, 10
1547, 116.2678448, 39.92829675, 45714, 652, 6
1436, 116.1896251, 40.17947479, 29903, 418, -26
376, 116.3591298, 39.76734085, 37532, 536, 39
481, 116.3591298, 39.7774066, 31461, 448, 20
1555, 116.5417702, 39.89813205, 55151, 780, 1
110, 116.620064, 40.01875684, 43659, 624, 1
1425, 116.3330455, 40.17947479, 23670, 338, 3
1459, 116.4113045, 39.89813205, 80342, 1124, 4
1269, 116.7636163, 40.37022889, 17356, 248, 15
841, 116.5548186, 40.2296802, 53317, 762, 18
1515, 116.6461635, 39.88807577, 50003, 699, -3
212, 116.0332695, 39.58599345, 21074, 301, 6
1916, 116.6592135, 40.02880511, 31659, 447, 12
1953, 116.6983641, 39.80759871, 40488, 578, 12
92, 115.9291064, 39.80759871, 20634, 295, 12
1505, 116.3069634, 39.67670784, 24479, 343, -3
54, 115.9811798, 40.11921792, 18496, 264, 14
1820, 116.3069634, 39.76734085, 73102, 1023, -9
1197, 116.6331137, 39.95845553, 50640, 716, 18
1888, 116.2808837, 39.89813205, 70989, 1004, 1
427, 116.0853743, 39.95845553, 33262, 470, 12
279, 116.1244622, 39.9685072, 42186, 596, 17
1707, 116.5026268, 40.09912929, 110772, 1550, -5
872, 116.0202456, 39.60615975, 15257, 213, -4
356, 116.8158178, 40.19955779, 28061, 397, 19
622, 116.4765328, 39.7774066, 55059, 778, 3
686, 116.5287221, 39.73713826, 45354, 634, -2
335, 116.4243493, 39.52546697, 36887, 516, 0
395, 116.2417688, 39.87801878, 57553, 805, 18
919, 116.3330455, 39.94840323, 98789, 1382, 8
702, 116.5939652, 40.19955779, 36414, 514, 30
920, 116.4895796, 40.07903898, 86571, 1224, 18
1514, 116.5156743, 40.00870803, 69892, 978, 0
1795, 116.2939233, 39.97855828, 150881, 2112, 0
1274, 116.150525, 39.61624124, 16436, 235, 20
1373, 116.4243493, 40.07903898, 48529, 679, -3
1994, 116.3330455, 39.93835031, 147206, 2060, 12
770, 116.2939233, 39.83778341, 58182, 814, 29
583, 115.8900627, 39.82772264, 21053, 295, 21
1578, 116.2548064, 39.93835031, 164788, 2307, 34
139, 116.0202456, 39.72706891, 19888, 284, 22
143, 116.3591298, 39.68678201, 16997, 222.99329999999998, 3
236, 116.6461635, 40.13930497, 41077, 586, 12
818, 116.3852162, 39.98860877, 111245, 1557, 0
56, 116.4634864, 39.78747148, 62317, 872, -4
1176, 116.5287221, 39.86796106, 81635, 1142, 0
1310, 116.4634864, 39.82772264, 49737, 709, 32
992, 116.8158178, 39.75727422, 21588, 302, 0
1507, 116.5809161, 39.95845553, 61322, 858, -7
1913, 116.3460874, 40.09912929, 73447, 1028, 12
558, 116.4243493, 39.73713826, 46357, 655, 12
1498, 116.1244622, 40.12926163, 58483, 818, -1
121, 116.2808837, 39.93835031, 149671, 2116, 23
1185, 116.6461635, 39.83778341, 40563, 573, 12
1276, 116.4504403, 39.99865868, 83785, 1172, -6
1087, 116.7897171, 39.81766108, 21545, 301, 10
1419, 116.3982601, 40.07903898, 48457, 685, 8
533, 116.6461635, 39.92829675, 42977, 601, 9
483, 116.4765328, 39.86796106, 66145, 926, -3
1054, 116.3069634, 40.03885287, 39801, 563, 4
717, 116.2287318, 39.7774066, 31522, 450, 7
329, 116.1114321, 40.00870803, 26272, 368, -2
975, 116.3460874, 40.21963965, 27479, 392, 13
955, 116.1896251, 39.94840323, 54766, 774, 15
277, 116.3591298, 39.54564717, 31299, 447, 8
135, 116.4895796, 40.14934794, 46483, 663, 12
764, 116.0853743, 39.94840323, 33186, 464, 7
343, 116.6853138, 39.67670784, 32352, 452, -1
1430, 116.4504403, 39.82772264, 83200, 1165, 0
1428, 116.5809161, 39.7774066, 48415, 678, 41
264, 116.5548186, 39.86796106, 52516, 750, 59
1656, 116.4243493, 40.03885287, 67324, 951, 5
728, 116.4113045, 39.90818763, 143145, 2004, 76
1929, 116.0853743, 39.9685072, 32929, 470, 12
1809, 117.1028728, 40.25980045, 53531, 750, -25
439, 116.1765909, 39.71699862, 53014, 757, 17
1095, 116.6461635, 39.87801878, 44107, 630, 19
1754, 116.2417688, 39.88807577, 64211, 898, -3
1989, 116.150525, 39.75727422, 38347, 536, 24
1728, 116.1765909, 40.05894688, 78218, 1095, 10
1117, 116.620064, 39.90818763, 41803, 585, -1
1796, 116.620064, 39.86796106, 50370, 705, -4
723, 116.6592135, 39.93835031, 62590, 876, 16
270, 116.1244622, 40.09912929, 57898, 818, 18
658, 116.5287221, 39.94840323, 87117, 1219, 19
1107, 116.2548064, 40.09912929, 38001, 542, 23
116, 116.4113045, 40.72164451, 21004, 300, 13
1861, 116.0723467, 39.93835031, 41562, 594, 12
1211, 116.6722636, 39.94840323, 42188, 602, 11
560, 116.7244649, 39.67670784, 32352, 452, -14
194, 116.2156955, 40.05894688, 69924, 988, 14
266, 116.3069634, 39.83778341, 80461, 1127, 27
449, 116.4634864, 39.87801878, 72494, 1015, 7
1375, 116.6331137, 40.13930497, 41318, 577, 17
1177, 116.5417702, 40.06899316, 42140, 590, 21
491, 116.4504403, 39.80759871, 55477, 792, 21
916, 116.2156955, 40.08908436, 70419, 996, 0
305, 116.0462943, 40.03885287, 18496, 264, 5
1510, 116.3200042, 39.91824252, 120410, 1686, 1
1070, 116.2287318, 40.20959886, 45448, 643, 9
44, 116.828868, 40.41038233, 27154, 380, 3
222, 116.3200042, 39.72706891, 42039, 594, 11
1253, 115.9681599, 40.37022889, 37697, 528, -5
834, 116.5548186, 39.84784339, 64822, 907, 3
328, 116.2417688, 39.93835031, 105845, 1482, 16
547, 116.6592135, 39.80759871, 40973, 573, -15
1385, 116.2939233, 40.00870803, 101472, 1420, -15
23, 116.8419182, 39.78747148, 26650, 373, -4
556, 116.7375153, 39.7774066, 24753, 354, 9
1737, 116.3200042, 40.2397205, 45008, 630, -3
1766, 116.8158178, 40.42042068, 14044, 199, 6
1029, 116.4634864, 39.72706891, 120149, 1682, 0
301, 116.3591298, 39.91824252, 247826, 3469, 1
1096, 116.4895796, 40.12926163, 70829, 1012, 23
721, 115.9811798, 39.9685072, 15348, 219, 18
1153, 116.1374932, 40.06899316, 77508, 1084, 3
16, 116.1896251, 39.66663267, 53014, 757, 17
327, 116.6461635, 39.78747148, 40973, 573, 23
