people-ID,x-coordinate,y-coordinate
17943, 116.085374314, 40.4706130605
21204, 116.098402761, 39.9484032343
23363, 116.698364103, 39.6767078381
23236, 116.7375153, 39.99865868
26969, 116.372172763, 40.2296801995
26627, 116.672263611, 40.2598004466
29724, 116.424349335, 40.0689931627
17796, 116.215695511, 40.0991292923
22239, 116.26784475, 40.1192179163
22444, 116.280883699, 40.0187568373
22456, 116.176590945, 40.0790389836
17755, 116.64616354, 40.0589468789
20709, 116.4243493, 40.00870803
27813, 116.5548186, 40.16943283
20607, 116.2808837, 39.7774066
31089, 116.580916101, 40.3903056481
14875, 116.137493207, 39.6867820062
23724, 116.489579637, 39.8377834084
18656, 116.711414463, 39.7874714839
20706, 116.5026268, 39.84784339
23640, 116.3330455, 40.13930497
22193, 116.7636163, 39.8579026
20082, 116.3069634, 39.67670784
29321, 116.5939652, 40.34011337
29399, 116.176590945, 40.1593905544
14887, 115.591101869, 39.857902604
23442, 116.3200042, 39.81766108
18541, 116.215695511, 39.9986586779
29036, 116.2026599, 39.69685518
25903, 116.554818584, 39.9584555266
20868, 116.789717144, 40.1995577873
32159, 115.929106424, 39.6867820062
21040, 116.828868045, 40.1292616312
26469, 116.528722105, 40.0890843555
24124, 116.2808837, 39.80759871
23152, 116.515674298, 40.2296801995
21258, 116.2678448, 39.88807577
29502, 116.3460874, 39.92829675
19961, 116.5939652, 40.34011337
17829, 116.659213515, 40.410382333
23574, 116.489579637, 40.1794747909
20296, 116.580916101, 40.1593905544
15449, 116.202659926, 39.6364009796
26109, 116.659213515, 40.410382333
22655, 116.4634864, 39.93835031
27964, 116.3852162, 40.00870803
26791, 116.476532816, 39.9282967469
35086, 115.487294876, 39.7270689091
15619, 116.5417702, 40.16943283
28221, 116.2417688, 39.90818763
15570, 116.4504403, 40.12926163
31954, 116.26784475, 40.0890843555
25035, 116.4373946, 39.7874714839
20651, 116.776666722, 40.1091738079
22114, 116.868018032, 40.0689931627
20411, 116.489579637, 39.5859934457
31256, 116.476532816, 39.9282967469
28140, 116.2287318, 39.98860877
23288, 116.554818584, 39.9584555266
20161, 116.6983641, 40.13930497
15011, 116.033269485, 40.0087080307
17626, 116.320004201, 39.5658226211
29177, 116.659213515, 39.6968551834
21535, 116.3330455, 39.81766108
32294, 116.7897171, 39.76734085
23694, 116.593965207, 39.8981320507
24939, 116.306963441, 39.7572742176
14783, 116.150524999, 40.3903056481
34814, 116.241768785, 40.1995577873
25753, 116.007222688, 40.1593905544
27857, 116.2548064, 40.21963965
26750, 116.7505658, 39.92829675
36099, 116.398260116, 39.8377834084
25573, 116.359129829, 39.9986586779
32357, 115.890062714, 39.7270689091
22868, 116.489579637, 39.8377834084
31370, 116.176590945, 39.857902604
25076, 116.215695511, 39.9584555266
23943, 116.3591298, 40.02880511
24488, 116.033269485, 40.430459056
35110, 116.4113045, 40.27987959
28067, 116.7244649, 40.36019045
20307, 116.4373946, 40.04890012
17497, 116.476532816, 39.7472066935
28628, 115.90307617, 40.4906905643
27259, 116.998505436, 40.0790389836
24519, 116.920215793, 40.0689931627
15548, 116.593965207, 39.9584555266
22711, 115.955141021, 40.0991292923
15387, 116.150524999, 39.9986586779
28977, 116.724464877, 40.0489001184
14575, 116.202659926, 39.8277226439
24094, 116.163557584, 39.9785582781
34206, 116.463486358, 39.8377834084
31509, 116.5548186, 40.25980045
32259, 116.26784475, 40.1192179163
15638, 116.1114321, 40.09912929
15614, 115.942123188, 39.7673408481
23497, 116.45044028, 39.8478433905
31931, 116.4504403, 40.29995806
30090, 116.1114321, 39.99865868
24396, 116.463486358, 39.8075987121
36182, 116.463486358, 40.0689931627
27445, 116.280883699, 39.5254669701
28724, 116.424349335, 39.626321649
16771, 116.4113045, 40.15939055
20809, 116.3200042, 40.04890012
15407, 116.554818584, 39.988608765
23020, 116.502626803, 39.8981320507
23922, 116.64616354, 39.7673408481
35673, 116.0593201, 40.08908436
26631, 116.124462225, 39.8277226439
30553, 116.2808837, 39.80759871
25476, 116.789717144, 40.0589468789
36061, 116.1114321, 39.78747148
29642, 116.1765909, 39.76734085
32168, 116.150524999, 40.2798795936
19742, 116.959361845, 40.1493479364
24132, 116.111432071, 39.7270689091
21843, 116.607014521, 40.0288051115
22582, 116.4504403, 39.8579026
21455, 116.515674298, 40.1995577873
18702, 116.3200042, 40.01875684
23428, 116.3982601, 39.90818763
14543, 116.007222688, 40.0790389836
32318, 116.489579637, 39.9383503123
16774, 116.3591298, 40.02880511
