RFs-ID,x-coordinate,y-coordinate,House-price,House-rent,capacity
1965, 116.0332695, 39.93835031, 31727, 448, 12
338, 116.6983641, 40.07903898, 40738, 576, 8
782, 115.5651406, 39.79753552, 15008, 216, 12
557, 116.0332695, 40.42042068, 27387, 394, 9
1455, 116.2939233, 39.99865868, 95779, 1354, 1
230, 116.9985054, 40.27987959, 52466, 750, 2
1751, 116.5417702, 39.95845553, 81097, 1135, -8
1532, 116.3982601, 39.95845553, 124782, 1747, 6
1776, 116.6070145, 39.83778341, 20739, 298, 12
28, 115.5911019, 39.63640098, 32831, 459, 3
228, 116.5548186, 40.32003595, 22231, 314, 8
1735, 116.5678672, 39.72706891, 27108, 379, -2
593, 116.6592135, 39.86796106, 44035, 628, 5
1870, 116.8158178, 40.44049747, 28908, 412, 12
750, 116.620064, 40.30999707, 34509, 498, 16
253, 116.4243493, 39.86796106, 77759, 1088, 2
727, 116.3721728, 39.86796106, 68212, 955, -19
31, 117.2202502, 40.63125283, 43048, 614, 5
771, 115.7209975, 39.97855828, 14778, 206, -5
1875, 116.2678448, 40.17947479, 22803, 328, 12
363, 116.5026268, 39.75727422, 75070, 1050, 17
1969, 116.1374932, 39.73713826, 33333, 481, 12
371, 115.9942008, 40.45053593, 36449, 516, 12
76, 116.0593201, 39.78747148, 24438, 352, 3
319, 116.5026268, 39.78747148, 34238, 494, 14
1728, 116.1765909, 40.05894688, 78218, 1095, 10
1779, 116.3982601, 40.11921792, 40597, 585, 12
1998, 116.5548186, 39.81766108, 13559, 195, 0
311, 115.8770504, 40.47061306, 25327, 354, -8
1961, 116.4895796, 39.92829675, 78598, 1100, 8
128, 116.3460874, 40.10917381, 73447, 1028, 28
183, 117.1028728, 40.53084713, 30211, 435, 11
232, 116.7897171, 40.08908436, 30586, 432, 27
355, 116.1114321, 39.88807577, 27772, 400, 9
101, 116.150525, 39.81766108, 54653, 765, 0
476, 116.2678448, 40.2397205, 47684, 687, 7
959, 116.2678448, 39.84784339, 64448, 902, -14
