OBs-ID,x-coordinate,y-coordinate,ob-price,capacity
513, 114.0957679, 22.56965336, 1599003.6262179841, 8
64, 114.0929666, 22.72529894, 2031004.4979400001, 1
656, 113.826686, 22.66530047, 1534948.09182, 1
592, 113.9421106, 22.57569068, 1629129.10611, 4
716, 114.4245496, 22.6284636, 1458780.63188, 1
672, 114.2755843, 22.74486627, 1272910.06227, 1
428, 114.4128062, 22.69650582, 1802199.3422399997, 1
781, 113.899928, 22.80795461, 879797.45535, 1
106, 114.0321467, 22.60364925, 989136.5897599999, 15
207, 113.8647422, 22.66483024, 1867692.3418999999, 1
479, 113.9426484, 22.73934999, 1636909.4799199998, 2
136, 114.1020648, 22.59017166, 756690.07095, 21
640, 114.0147148, 22.66305665, 1465403.0489999999, 2
421, 113.8922304, 22.79108217, 1842946.8557499999, 2
993, 113.8050573, 22.70254052, 931770.22356, 2
621, 113.9182386, 22.56843843, 1983302.8022500002, 9
942, 114.2435979, 22.58241509, 2211879.26553, 2
924, 114.1233485, 22.56924998, 1781502.67823, 10
731, 114.3109108, 22.66914078, 2093642.0633700003, 10
817, 113.8980972, 22.55150493, 1153150.92816, 12
767, 113.8563369, 22.74696049, 1920847.2244499999, 2
789, 113.932356, 22.56162924, 1792483.13541, 1
191, 113.896119, 22.72186615, 1213068.3422, 22
963, 113.928491, 22.52050551, 1264860.7332900004, 4
791, 114.2850418, 22.6886509, 1289129.5084800003, 2
336, 114.1011595, 22.56392718, 871013.8308777289, 18
681, 113.8982954, 22.70779894, 2039557.9165500002, 1
42, 114.0404776, 22.52785478, 934147.3363199999, 12
6, 114.433137, 22.6285556, 1702296.1859199996, 1
44, 113.9228696, 22.69469437, 1610300.6337, 1
775, 114.0189224, 22.74761867, 2186789.1302399994, 1
512, 113.9370425, 22.53714623, 1096048.6856, 1
873, 114.0158759, 22.61801678, 1514309.4061699999, 9
158, 114.2125284, 22.72475814, 1519306.8187, 2
797, 114.0079791, 22.60133834, 1416266.3888999997, 6
882, 114.0253108, 22.66369707, 874313.6688, 2
80, 114.3492044, 22.70813761, 1172702.5195600002, 1
327, 113.8948506, 22.55553054, 884670.455089007, 15
153, 114.0488191, 22.60469621, 690657.4718940558, 11
286, 114.0399778, 22.70672768, 1179363.58892, 1
753, 114.0622229, 22.57712159, 1133810.31357, 1
946, 114.0436966, 22.64983377, 1131877.70157, 1
936, 113.9417295, 22.570109, 1522777.4677499998, 1
186, 114.3517352, 22.72512387, 2203177.68, 6
289, 113.9461099, 22.74568305, 1457358.5515500002, 1
863, 114.3667324, 22.73473908, 1418163.5696799997, 2
994, 114.0831677, 22.5592743, 1930713.2087100002, 1
727, 113.8790227, 22.59653042, 2287181.8816000004, 1
26, 114.3607431, 22.75979014, 1225430.6169599998, 1
537, 113.9705889, 22.54983022, 1968239.7022199996, 1
937, 113.9032438, 22.72744574, 1594961.504457524, 1
669, 113.8059591, 22.72585783, 2018728.1224480774, 15
636, 114.3660499, 22.76604231, 1208583.07185, 1
848, 114.2829847, 22.67126173, 985516.16328, 5
282, 114.1143859, 22.69911255, 1927104.0558, 1
606, 114.0252461, 22.56778933, 1648962.5367600003, 1
563, 114.0709673, 22.52756307, 1023743.2286400001, 1
172, 113.8714992, 22.78752544, 1196542.89909, 10
578, 114.3125033, 22.7649677, 1503088.983, 1
280, 114.3890236, 22.75600408, 2203113.2596000005, 1
892, 113.9180301, 22.68796411, 588046.2960030865, 3
160, 114.0299919, 22.6668482, 728522.2510500001, 1
755, 114.2177822, 22.64129845, 1157702.2294199998, 1
944, 114.2246614, 22.68177281, 2043911.1250800001, 4
901, 114.0280747, 22.56038858, 1499264.02175, 8
562, 114.1119923, 22.58738683, 1164480.8660099998, 4
651, 113.9409297, 22.6785624, 1013526.1531999998, 3
468, 114.0395011, 22.60753726, 1014242.83015, 24
88, 113.8649922, 22.79720284, 826513.732, 14
114, 114.1622281, 22.57001282, 1316688.5555999998, 1
73, 113.7961225, 22.72937009, 1060198.733, 10
322, 113.8352106, 22.77728948, 1804595.7811200002, 2
206, 114.080648, 22.69997714, 2357400.1176, 2
346, 114.1242908, 22.59420024, 1742707.1028399998, 3
307, 113.8927351, 22.80211546, 976624.5375699999, 1
341, 113.9837854, 22.68785579, 1491380.8371671604, 3
279, 113.9351046, 22.57055094, 2227253.1939899996, 1
673, 114.0260963, 22.61527902, 1196608.9300000002, 4
674, 114.3385519, 22.75543252, 742946, 0
579, 114.2182204, 22.64907737, 1996885.84359, 1
553, 114.2469077, 22.56876552, 1552144.717108125, 12
11, 114.0658046, 22.54474181, 1603377.0512100002, 8
633, 113.8336617, 22.63291191, 1804760.05314, 7
928, 114.0109673, 22.53116917, 854346.7069015431, 4
582, 114.3783082, 22.75588524, 1211973.1954, 2
515, 114.1584063, 22.56203742, 1220243.16425, 11
391, 113.7822354, 22.70703794, 1691711.9142, 1
748, 114.0416775, 22.62253209, 583272, 0
168, 114.1130659, 22.65132133, 1262018.18314, 2
547, 113.8206971, 22.75419266, 966789.1530000002, 1
829, 114.3486816, 22.70118929, 1855462.1289600001, 2
202, 114.283724, 22.75135238, 923450.3289000001, 1
788, 114.1466665, 22.65385368, 1052229.9295199998, 1
291, 113.8962024, 22.57405691, 1548357.19808, 6
533, 114.5116099, 22.54292441, 1756048.5676799999, 1
223, 113.9608013, 22.6869296, 1706013.2430000002, 12
680, 114.2508291, 22.73397813, 1122586.66938, 1
361, 114.2519571, 22.69252101, 2162541.2916800003, 1
316, 114.3683956, 22.75704442, 1066028.7792, 2
438, 113.9853128, 22.56103544, 1631424.08286, 8
77, 113.9262857, 22.4872279, 1199458.9274704936, 3
262, 113.8961269, 22.51793372, 954373.7314100001, 2
350, 114.1203258, 22.55337499, 1822478.8841600004, 9
595, 114.2181855, 22.75663067, 1913406.6682499999, 1
142, 113.8262562, 22.78336177, 1532150.6359499998, 1
49, 113.9923093, 22.58984621, 2010966.4857507842, 10
100, 114.0978306, 22.69478757, 2119278.1615500003, 9
308, 114.0012656, 22.72803226, 1869541.20738, 2
118, 114.3072888, 22.67023618, 1908980.98677, 16
911, 113.981679, 22.72850334, 1324834.5151799999, 7
61, 114.0573383, 22.6047373, 818654.4431999999, 22
406, 113.8365017, 22.61054379, 1478834.7023999998, 1
82, 114.1080045, 22.61812467, 1949084.8641942618, 13
335, 114.214763, 22.67006742, 1844610.9286265962, 14
973, 113.933633, 22.52550055, 1870623.4701, 3
269, 113.9218083, 22.51883796, 1737392.3577008077, 9
437, 114.3024076, 22.66862423, 1108417.4024, 10
434, 113.9887725, 22.6637733, 1344692.1034800003, 1
373, 114.2981812, 22.60276444, 1062917.2738800002, 2
48, 114.0375051, 22.69082435, 1684657.8804, 3
