residences-ID,x-coordinate,y-coordinate,House-price,House-rent,capacity
1390, 114.3675525, 22.73932439, 318782, 6440.04, 1
2, 113.8922297, 22.54960966, 2659500, 53190, 1
343, 114.0436235, 22.56713422, 1184153, 24408, 1
1115, 114.0836915, 22.54464969, 1496064, 30223.52, 1
1474, 114.0354747, 22.52564391, 1730768, 34965, 1
1497, 113.9048476, 22.59788812, 2389582, 53837.1881256384, 1
239, 113.8998265, 22.51094629, 2413800, 48276, 1
1083, 113.9109423, 22.55746874, 1036670, 20942.82, 1
413, 114.2084736, 22.70857754, 1105866, 22117.32, 1
277, 114.0339235, 22.5440893, 2295000, 45900, 1
565, 114.1491021, 22.54897152, 1772365, 36167.04, 1
0, 114.08299300154083, 22.553127978175954, 2091245, 37767.122450286, 0
1090, 114.1214859, 22.54613392, 1292703, 26379, 1
461, 114.2996634, 22.58772059, 2548422, 56273.276173051025, 1
1023, 114.1719252, 22.56852138, 1638000, 36169.687112832005, 1
1241, 114.2472049, 22.71845507, 781197, 15781.76, 1
568, 114.1183316, 22.56107544, 1472093, 30039.66, 1
948, 114.0593745, 22.57563188, 1493100, 29862, 1
1324, 113.9268446, 22.50714537, 2096523, 42354, 1
1028, 114.078063, 22.53733783, 1573506, 31788, 1
1260, 114.070886, 22.57135137, 1356548, 27405, 1
3, 114.201737, 22.70969063, 1273685, 25731, 1
969, 114.1870302, 22.65538061, 858600, 17172, 1
31, 114.1354808, 22.56964572, 1502637, 30052.74, 1
157, 114.1928299, 22.64789934, 911700, 18234, 1
551, 114.0706314, 22.52768003, 1670938, 30176.806746484723, 1
440, 113.889344, 22.56290387, 1325700, 26514, 1
577, 113.9530413, 22.57404856, 1871100, 37800, 1
355, 114.0217343, 22.65356868, 1443600, 28872, 1
911, 114.0575448, 22.53709734, 1115397, 22307.94, 1
369, 113.9236458, 22.52457026, 1369913, 27675, 1
1057, 114.1329378, 22.60950451, 801900, 16200, 1
327, 114.2484599, 22.73174, 1025100, 22635.864627206403, 1
1375, 113.9183133, 22.49543257, 2103300, 42066, 1
1315, 114.3042553, 22.60337255, 1042470, 21060, 1
927, 114.0562232, 22.51990442, 1999350, 39987, 1
153, 114.1185954, 22.59768455, 1249039, 25488, 1
743, 114.0619709, 22.69241265, 1298700, 25974, 1
1359, 114.1049162, 22.62590914, 1129957, 23058, 1
1409, 114.1411711, 22.55105452, 1365903, 30466.005683500807, 1
424, 113.8355095, 22.59032396, 1957824, 39156.48, 1
554, 114.1186598, 22.53707709, 1309957, 26463.78, 1
287, 114.0085987, 22.56776331, 2700000, 54000, 1
677, 114.0878655, 22.57238118, 1336500, 29810.1816864, 1
295, 114.11241, 22.54223148, 978705, 19574.1, 1
411, 113.9256338, 22.51572657, 2114014, 42280.28, 1
313, 114.2999413, 22.76820291, 1001970, 20039.4, 1
823, 114.0109379, 22.56738903, 2613600, 52272, 1
