people-ID,x-coordinate,y-coordinate
14250, 114.1277981, 22.58868764
1883, 113.9131014, 22.50435826
7648, 114.104608, 22.57488543
8832, 113.9395252, 22.74660296
7558, 113.9383125, 22.57746684
9465, 114.0783056, 22.54244888
13714, 113.8154939, 22.76043031
15644, 114.2084736, 22.70857754
7499, 114.0591583, 22.56203771
9788, 113.848971, 22.61149351
25854, 113.95045474561937, 22.548782461573214
16602, 114.2542881, 22.59192917
468, 114.0844342, 22.54751853
1402, 114.0077078, 22.54389028
12971, 114.245619, 22.59661344
8418, 114.0785614, 22.54044272
25691, 114.08516575967163, 22.548782461573214
9716, 114.0624727, 22.62353595
13176, 114.1101404, 22.54153671
4625, 113.9248626, 22.49505083
2249, 113.9605944, 22.52511671
602, 114.021228, 22.53092009
419, 113.9003681, 22.52930743
2254, 114.020688, 22.5546845
953, 113.9512853, 22.55026759
16207, 114.2294995, 22.75382809
11906, 114.1239275, 22.54715471
6610, 114.0704913, 22.54506796
6634, 113.9248777, 22.5101007
8968, 113.9149808, 22.52972851
4964, 114.0985441, 22.56529973
3732, 114.0431475, 22.5291419
8, 113.9448743, 22.54952583
25892, 114.1248286, 22.57658164
5663, 113.9258192, 22.51841222
7315, 113.9062106, 22.53650882
414, 113.9725439, 22.55005074
13386, 114.2115401, 22.71321091
13204, 113.8282306, 22.78595423
5195, 113.9292544, 22.50163957
13783, 114.3392882, 22.71090932
12262, 114.0154736, 22.65448952
8984, 114.0417775, 22.61856082
4112, 113.9321822, 22.52669891
6111, 114.2454337, 22.7144816
3631, 114.1340787, 22.550601
8939, 114.0592883, 22.57054481
11325, 113.8591147, 22.57989424
1144, 114.0095404, 22.54330407
11792, 114.0684466, 22.57172139
3918, 114.0611423, 22.53592798
12523, 114.1332911, 22.5477813
15855, 114.0264507, 22.53920301
6999, 113.8845256, 22.55733132
7136, 113.886871, 22.57638403
14346, 114.2182253, 22.67609825
7889, 114.0686703, 22.61984124
7182, 114.1042123, 22.53916777
568, 114.0109379, 22.56738903
11958, 114.0552119, 22.57259476
13451, 114.2485412, 22.73406649
5316, 114.007117, 22.60084288
9057, 114.0352336, 22.63158047
17518, 114.2988156, 22.77291042
7277, 114.0045131, 22.64230583
14793, 114.1101877, 22.61879456
16150, 114.2084736, 22.70857754
15320, 114.2751117, 22.74890723
2764, 114.0403327, 22.59988803
14108, 114.0211442, 22.65440316
6392, 113.9268446, 22.50714537
4030, 113.863216, 22.57078846
670, 113.9725439, 22.55005074
9525, 113.9181211, 22.52648799
14300, 114.1538611, 22.60964201
2981, 113.8295056, 22.71524041
3884, 113.9227683, 22.51235825
11468, 114.2289084, 22.72308742
3882, 114.0759329, 22.53834309
15650, 114.2215604, 22.73269285
7051, 114.0358617, 22.54489447
13595, 113.808932, 22.73500402
17467, 114.1998898, 22.724382
12608, 114.238708, 22.70154264
14474, 114.2258562, 22.75410679
11134, 114.0680177, 22.62361374
1367, 113.9598081, 22.53710949
16339, 114.2771994, 22.76753352
8972, 114.0836915, 22.54464969
14045, 113.8288835, 22.685504
8711, 113.7913371, 22.73468193
5341, 113.9767135, 22.5617285
858, 113.9243591, 22.73817724
3818, 114.054181, 22.59691261
69, 113.9156862, 22.52466374
2000, 114.0455283, 22.54648056
12687, 114.0278292, 22.66347045
17109, 113.8245459, 22.74361825
10791, 113.8522069, 22.6141377
10371, 113.8746316, 22.55197004
6182, 114.016779, 22.52876707
5807, 113.8800022, 22.49385842
15708, 114.1133745, 22.53726168
13825, 113.9188922, 22.57944395
25624, 113.94610922810455, 22.527054880467904
6816, 114.1083256, 22.55539337
6584, 114.103918, 22.53741437
14770, 114.2468222, 22.72244962
12384, 114.2289084, 22.72308742
443, 113.9863711, 22.5576736
4921, 114.081089, 22.54846213
16057, 114.2625363, 22.74366001
7266, 114.0345766, 22.5654001
7093, 114.0357241, 22.55844362
7446, 114.0313345, 22.66527926
3751, 113.8897867, 22.58338662
16412, 114.1133325, 22.60835034
10602, 114.0993355, 22.62579671
1266, 114.0737102, 22.53895916
14472, 114.2258562, 22.75410679
831, 114.0548687, 22.57485599
765, 114.116512, 22.70440433
10790, 113.8522069, 22.6141377
8505, 113.8846552, 22.58885046
16681, 114.1720306, 22.64868879
8444, 114.0417775, 22.61856082
17507, 113.8566761, 22.60489379
14679, 114.090952, 22.53891799
12838, 114.116512, 22.70440433
6022, 114.0759329, 22.53834309
17056, 114.2579837, 22.68510514
16019, 114.1055162, 22.59685098
6965, 114.0386285, 22.55495065
12587, 114.1185954, 22.59768455
11719, 114.0367893, 22.61215185
6445, 113.9740354, 22.55746462
15557, 114.2615814, 22.68973429
12442, 114.1468428, 22.55594912
7861, 114.1148137, 22.54773635
17485, 114.0380729, 22.65203364
12806, 114.2296525, 22.5578889
15817, 114.2615814, 22.68973429
1204, 114.0651306, 22.55945076
3314, 113.8505256, 22.57003332
15881, 114.3354208, 22.70099604
2893, 114.2766921, 22.74216487
14019, 114.1072085, 22.62652505
12092, 114.2260265, 22.73332349
8724, 114.0524428, 22.53036901
13058, 114.1506243, 22.55492628
2266, 113.9305493, 22.50677465
11301, 114.2198708, 22.72619087
8663, 114.1227205, 22.55684904
7678, 113.8933541, 22.58630872
9111, 114.1171319, 22.567793
11235, 114.1099815, 22.53958395
5664, 113.9479352, 22.56200681
11870, 114.0173094, 22.62430723
2863, 113.9072223, 22.54231109
12610, 114.238708, 22.70154264
14362, 114.2484599, 22.73174
4621, 113.9256338, 22.51572657
6712, 114.0404352, 22.56107122
8507, 113.8846552, 22.58885046
16750, 114.2421145, 22.73886973
3696, 113.8493022, 22.59437716
1122, 113.9382846, 22.54399802
5051, 113.9018206, 22.51295607
12170, 114.1757151, 22.6364007
14428, 114.1151491, 22.69657187
12319, 114.1234008, 22.62789153
16369, 114.2466808, 22.72743507
8958, 114.0509316, 22.56414593
3318, 114.0591583, 22.56203771
1109, 114.0204046, 22.53807139
7540, 114.0378911, 22.55018212
11198, 114.1230387, 22.58068133
14256, 114.0224392, 22.63876677
11374, 113.924989, 22.50836662
15013, 114.1182255, 22.67187027
12167, 113.8771498, 22.58317542
10593, 114.1717473, 22.56436374
6307, 113.9197434, 22.52402639
7786, 114.1335832, 22.62485819
12183, 114.1072085, 22.62652505
5668, 114.1376962, 22.59014356
13545, 114.1695198, 22.56610274
14341, 114.0724755, 22.5421678
14519, 113.8517805, 22.77494241
9616, 113.9360299, 22.74693106
11156, 113.8998904, 22.580372
13449, 114.2485412, 22.73406649
537, 114.0123941, 22.55631542
10069, 114.1255815, 22.54376704
16584, 114.2288876, 22.70270774
25585, 113.94610922810455, 22.527054880467904
2007, 114.0858786, 22.55626271
2708, 114.1355471, 22.55109677
11298, 114.1094862, 22.5462653
9100, 114.079839, 22.54379355
9054, 114.3697374, 22.74835856
3051, 114.0504754, 22.52944558
2465, 113.9261702, 22.51602169
15603, 114.2084736, 22.70857754
1463, 114.0468184, 22.53617496
6178, 113.9075557, 22.52137828
7370, 114.0417678, 22.57489347
5748, 114.0285468, 22.56929008
2450, 113.9448743, 22.54952583
12034, 113.8886117, 22.77684509
14999, 113.8832089, 22.78014068
8348, 113.8522069, 22.6141377
17508, 114.2933476, 22.77126038
13354, 114.1332911, 22.5477813
14331, 114.0179221, 22.65101941
10511, 113.9299459, 22.74871131
15314, 114.1017011, 22.63294473
5545, 114.0504754, 22.52944558
7629, 114.1099815, 22.53958395
6293, 114.0403301, 22.5338741
7897, 114.1506243, 22.55492628
3331, 113.906304, 22.51810499
1913, 113.9081022, 22.57355042
12311, 113.9011316, 22.78291302
6937, 113.9140583, 22.49114579
7958, 114.0261157, 22.63404516
3939, 114.0352502, 22.52975706
17171, 114.3239581, 22.68326099
5379, 114.103918, 22.53741437
11664, 114.1220831, 22.59238119
4502, 114.0541074, 22.62697383
15421, 114.1281902, 22.61384109
9842, 114.0430051, 22.67646734
3577, 114.1340787, 22.550601
12864, 113.8593418, 22.62832393
1548, 113.916999, 22.50356757
11070, 114.0822853, 22.63028795
3905, 114.0813538, 22.53581846
5554, 114.0544854, 22.5696858
4473, 113.9348085, 22.54579039
11933, 114.0261157, 22.63404516
3116, 113.9321822, 22.52669891
12032, 114.0261157, 22.63404516
3989, 113.9133121, 22.52485428
17454, 114.3345937, 22.68546468
11290, 114.2229894, 22.70499103
9282, 113.9299459, 22.74871131
16913, 114.1330261, 22.6173389
12047, 113.9213932, 22.55326399
11453, 113.8522069, 22.6141377
2481, 114.2300401, 22.56002957
7671, 114.0019357, 22.54763075
15418, 114.3354208, 22.70099604
2983, 114.007117, 22.60084288
10303, 114.1318523, 22.55347583
11282, 114.1239275, 22.54715471
6678, 113.9168393, 22.50547271
6528, 113.9212985, 22.52115787
25657, 113.94393646931087, 22.527054880467904
13572, 113.8357379, 22.64104742
12455, 114.1083642, 22.57636406
6465, 114.03412, 22.55356374
14858, 114.248107, 22.5904246
11149, 114.0560703, 22.51722626
368, 113.8957434, 22.53233885
25936, 114.0019357, 22.54763075
4997, 114.025783, 22.64965565
4990, 114.0452549, 22.52080883
4109, 114.0182988, 22.63196421
10645, 114.2472049, 22.71845507
17444, 114.3246862, 22.68515792
9845, 114.1167624, 22.56310054
13181, 114.0719223, 22.66166336
7014, 113.979472, 22.5621445
12660, 114.0311193, 22.66163265
11782, 114.0596743, 22.62833521
3830, 114.2172984, 22.70310102
15968, 114.3475432, 22.66921114
11002, 114.0870308, 22.53805308
1164, 113.890255, 22.50393848
12450, 114.1261461, 22.61215303
9710, 114.0521542, 22.71887003
9766, 114.0825265, 22.54407702
17089, 114.0143073, 22.64591725
8760, 114.0680177, 22.62361374
2408, 114.0884063, 22.54678497
11183, 114.0789495, 22.55088775
13203, 114.0174534, 22.53769325
13239, 114.1145233, 22.54489976
25737, 114.0191951, 22.54249579
15991, 114.1017011, 22.63294473
