people-ID,livelong,livelat,wslong,wslat
4577, 114.0451706, 22.51174816, 114.1273117, 22.55232136
7130, 113.9084027, 22.53064115, 113.8425345, 22.73227453
11536, 113.8268095, 22.64682811, 0, 0
14479, 114.0239956, 22.64331109, 113.9833701, 22.73968006
25885, 113.9485403, 22.54665421, 114.1223451, 22.60760209
12914, 114.248107, 22.5904246, 114.1292601, 22.56291605
9977, 114.2940064, 22.72836775, 0, 0
11428, 114.1306867, 22.60230633, 0, 0
2157, 114.0763185, 22.56025754, 113.9461099, 22.74568305
8907, 114.2570457, 22.73647931, 114.2799684, 22.71391601
6770, 113.9517906, 22.56079444, 113.9687383, 22.56227034
2670, 113.9767135, 22.5617285, 113.9771094, 22.55295138
14634, 114.1182233, 22.54045076, 0, 0
4902, 114.0250383, 22.65376344, 114.002671, 22.72873981
5553, 114.0652493, 22.53848359, 114.3292812, 22.68364859
5068, 113.8797414, 22.57248396, 113.9275533, 22.63746989
15514, 113.8936399, 22.76805679, 113.8704324, 22.78480925
16007, 114.1312649, 22.609293, 114.1242908, 22.59420024
4739, 113.9779811, 22.5638064, 114.031832, 22.70150831
9549, 114.2088018, 22.72854125, 114.2099445, 22.70807763
749, 113.9419285, 22.55326824, 113.9233533, 22.58496019
12420, 114.266457, 22.69397912, 114.3160098, 22.70745292
9859, 114.0339166, 22.527063, 0, 0
15075, 114.1281902, 22.61384109, 114.1195464, 22.59836534
5327, 114.081089, 22.54846213, 114.0878704, 22.54425988
10286, 114.2232146, 22.68026417, 0, 0
5576, 113.922354, 22.52687612, 113.9147853, 22.57005729
16712, 114.2446094, 22.74871239, 113.8847969, 22.71855789
25807, 114.08299300154083, 22.553127978175954, 0, 0
6720, 113.9750147, 22.53820363, 113.9854016, 22.54491542
5892, 113.9917714, 22.53415387, 114.3833801, 22.69048805
15362, 114.2376679, 22.71326216, 113.9180301, 22.68796411
7445, 114.0759798, 22.55625124, 114.0518927, 22.5357264
3651, 113.863216, 22.57078846, 113.8064836, 22.69279451
12160, 114.201737, 22.70969063, 114.2146748, 22.70297441
12243, 114.2330761, 22.71232915, 0, 0
25902, 113.8289193, 22.71956443, 114.0321467, 22.60364925
8229, 114.0419765, 22.55608436, 114.0404748, 22.55677095
16024, 114.1357676, 22.61672765, 114.1428982, 22.62017946
12628, 114.1163164, 22.55172093, 114.1233485, 22.56924998
14567, 114.1145233, 22.54489976, 114.3480704, 22.68461142
2243, 113.9496693, 22.55122213, 113.947194, 22.54526793
8598, 114.0552119, 22.57259476, 113.9778758, 22.56564506
11141, 114.0173094, 22.62430723, 0, 0
14746, 114.248107, 22.5904246, 114.2267479, 22.54578426
8766, 113.8998904, 22.580372, 113.8716204, 22.80383294
3445, 114.1340787, 22.550601, 114.1332715, 22.5709549
17218, 114.3355732, 22.71003255, 114.3661004, 22.75720005
17295, 114.3573882, 22.68876983, 114.3492044, 22.70813761
9258, 114.1197653, 22.55462931, 0, 0
1364, 114.0163238, 22.53727597, 114.0449931, 22.70374768
9590, 114.0463786, 22.62462621, 0, 0
11169, 113.8591147, 22.57989424, 113.8736547, 22.60193417
15751, 114.1281902, 22.61384109, 114.1264577, 22.60106998
1704, 113.9496693, 22.55122213, 113.860603, 22.57924996
9789, 113.848971, 22.61149351, 114.3243912, 22.73825933
3323, 113.9416942, 22.58496019, 113.9462949, 22.58541408
17080, 114.1167281, 22.62348769, 114.1068236, 22.62223429
8629, 114.058055, 22.69512613, 114.1265588, 22.69642133
12826, 114.159033, 22.61719484, 0, 0
3155, 114.0354747, 22.52564391, 113.8701866, 22.79073299
14250, 114.1277981, 22.58868764, 114.1027893, 22.59637715
