CID,Price,Capacity,Long,Lat
0,12000,15,116.42103800000,39.82043400000
1,25000,45,116.52741600000,40.02800200000
2,18000,78,116.23910100000,39.92760900000
3,16000,18,116.18512400000,40.02609900000
4,13000,15,116.70208500000,40.14527000000
5,14000,18,116.26987400000,40.24919200000
6,13000,45,116.41278000000,39.70042600000
7,13000,27,116.75172800000,39.86967100000
8,20000,93,116.39784900000,39.90828300000
9,10000,21,116.71032500000,40.39643500000
10,30000,15,116.57329200000,39.92748600000
11,9000,15,115.87189200000,40.36887400000
12,13000,21,116.92452300000,40.14458500000
13,14000,66,116.59603300000,39.68550500000
14,18000,87,116.35660000000,40.00524400000
15,13000,54,116.51372400000,40.16873600000
16,12000,36,116.16534800000,40.17430600000
17,22000,78,116.20699400000,39.84742200000
18,30000,24,116.50066200000,39.91770200000
19,13000,24,115.60623800000,39.62606000000
20,14000,20,116.68479800000,39.80822700000
21,12000,33,116.10153200000,39.68463500000
22,15000,78,116.10910300000,39.99583400000
23,18000,102,116.31499600000,39.82190200000
24,14000,42,116.28278000000,40.11797700000
25,12000,42,116.73454500000,39.99859700000
26,13000,42,116.62839200000,39.91392400000
27,13000,27,116.68479800000,39.80822700000
28,12000,21,116.31565100000,39.66709900000
29,18000,51,116.38262700000,39.80269600000
30,22000,33,116.24235100000,40.02009700000
31,13000,30,116.24662500000,39.73897200000
32,14000,30,116.02346400000,39.74679800000
33,14000,48,116.39526200000,40.08664200000
34,11000,9,117.23247500000,40.16217600000
35,9000,12,116.38420400000,40.66747900000
36,12000,84,116.68979100000,40.22647600000
37,13000,12,115.91743700000,40.18799800000
38,14000,33,115.99931500000,40.02692200000
39,13000,75,116.62267000000,40.06062200000
40,8000,40,116.50918500000,40.30438100000
41,25000,99,116.45171300000,39.88673400000
42,13000,81,116.58169000000,39.81905000000
43,25000,66,116.56926900000,39.96612200000
44,20000,54,116.43716800000,40.03562600000
45,14000,39,116.35886800000,39.60468400000
46,11000,12,116.97506600000,40.48674700000
47,16000,57,116.31268400000,39.87124700000
48,20000,102,116.30960400000,39.96778500000
49,13000,96,116.50928600000,40.09434000000
50,8000,39,116.59977400000,40.42770800000
51,12000,30,115.93794600000,39.74585300000
52,12000,42,116.60281400000,40.22859000000
53,12000,24,116.47822600000,40.10840000000
54,35000,24,116.51821600000,39.93007200000
55,18000,15,116.11353900000,40.09689100000
56,12000,27,116.73787900000,40.02946500000
57,13000,12,116.83760700000,40.12628100000
58,15000,21,116.16855600000,39.90345300000
59,18000,30,116.13615500000,39.78277400000
60,13000,27,116.00222100000,40.22814700000
61,14000,54,116.31158000000,40.20663400000
62,14000,33,116.42960900000,40.14265900000
63,20000,15,116.50803400000,39.91238900000
64,30000,63,116.42038800000,40.01355700000
65,20000,33,116.32430400000,39.90299500000
66,25000,78,116.53660300000,39.87279400000
67,16000,27,116.18929300000,40.05555700000
68,10000,9,116.47394600000,40.49682900000
69,14000,99,116.62349700000,40.15988700000
70,12000,24,116.65296300000,39.96482700000
71,10000,15,116.01476200000,40.44958100000
72,14000,30,116.41001900000,40.27923900000
73,13000,33,116.62754700000,39.74025600000
74,13000,63,116.77939300000,40.23405500000
75,12000,30,116.54954000000,40.11673200000
76,14000,99,116.34958800000,40.16132300000
77,12000,96,116.71660200000,39.90377100000
78,14000,30,116.39152300000,39.46780800000
79,8000,12,116.50918500000,40.30438100000
80,13000,15,116.79464600000,39.76935300000
81,25000,54,116.41981800000,39.93275500000
82,20000,96,116.21456100000,39.98602500000
83,12000,39,116.64101800000,39.85690200000
84,18000,66,116.25098200000,39.83942000000
85,12000,18,115.88497800000,39.81731800000
86,16000,60,116.27027000000,40.05313000000
87,13000,66,116.34494200000,40.06936400000
88,13000,51,116.55438500000,39.72272700000
89,14000,89,116.83760700000,40.12628100000
90,13000,42,116.13831300000,40.22005500000
91,13000,57,116.58821000000,40.13693700000
92,20000,48,116.32909500000,40.00017200000
93,10000,21,116.99477500000,40.18964100000
94,13000,15,116.21990900000,39.67079100000
95,14000,12,115.96942800000,39.93862400000
96,15000,18,115.85672800000,39.92543700000
97,10000,36,116.81077400000,40.39257000000
98,25000,30,116.39303100000,39.99496800000
99,9000,21,115.82079400000,40.50326400000
100,13000,45,116.58248200000,39.67204900000
101,13000,69,116.34042300000,39.73716200000
102,20000,87,116.44352200000,39.82538800000
103,20000,99,116.56281500000,40.00806500000
104,20000,48,116.37050400000,39.86080700000
105,12000,54,116.44458400000,39.68228500000
106,16000,45,116.35871600000,39.96804200000
107,14000,45,116.31299000000,39.67357400000
108,14000,36,116.28710300000,39.77709100000
109,35000,48,116.50909100000,39.99097100000
110,13000,12,116.46101700000,39.60305000000
111,16000,18,116.19927700000,40.11029900000
112,10000,18,116.65218900000,40.28602100000
113,20000,63,116.59388300000,39.90798100000
114,12000,39,115.97038200000,39.69660900000
115,18000,51,116.26394000000,39.99712600000
116,18000,9,116.15902200000,39.86235400000
117,14000,42,116.05215500000,40.00024400000
118,8000,118,116.68953200000,40.44255300000
119,12000,18,116.87636000000,39.70954500000
120,14000,12,116.25489800000,40.13008000000
121,16000,33,116.13737000000,40.10757000000
122,18000,69,116.08428800000,39.82279100000
123,12000,33,116.08553300000,39.75140800000
124,35000,54,116.48528800000,39.87785700000
125,12000,66,116.55538000000,40.08288600000
126,13000,24,116.32984100000,40.22306300000
127,20000,48,116.29995300000,39.93637300000
128,14000,33,116.46936500000,39.74995200000
129,35000,51,116.50693500000,39.94622600000
130,14000,33,116.20874300000,39.90704900000
131,14000,69,116.37845600000,39.72947600000
132,14000,30,116.69950200000,40.01475800000
133,20000,33,116.46068600000,40.00117400000
134,14000,36,116.56337500000,40.13725300000
135,16000,36,116.11167700000,39.86593800000
136,18000,90,116.06064100000,40.08480100000
137,14000,18,116.28112900000,39.61545300000
138,20000,51,116.50149400000,39.92854300000
139,10000,21,117.11241500000,40.21406100000
140,13000,99,116.43343600000,39.76276900000
141,12000,27,116.12769800000,39.69581000000
142,35000,15,116.52920200000,39.90190200000
143,25000,87,116.48898500000,40.05475600000
144,14000,78,116.33056200000,39.65943400000
145,14000,36,116.28322400000,40.10810300000
146,15000,21,116.10367400000,39.92758100000
147,14000,24,116.58088000000,39.64834400000
148,13000,18,116.06628500000,39.75680900000
149,20000,18,116.29644900000,40.04741300000
150,20000,18,116.35802500000,39.97438400000
151,12000,18,116.68596400000,39.90885400000
152,16000,81,116.34456900000,39.85506100000
153,12000,15,115.79324600000,39.61971600000
154,8000,36,116.58798500000,40.34059900000
155,20000,9,116.30184400000,39.88801900000
156,30000,51,116.59486700000,39.97590100000
157,14000,45,116.10267600000,39.95069500000
158,8000,12,115.94163800000,40.44536700000
159,20000,45,116.31491900000,39.98602700000
160,16000,57,116.25558800000,39.96155700000
161,25000,36,116.52763900000,39.84675000000
162,10000,18,116.74435200000,40.34440000000
163,20000,66,116.48761700000,40.01812500000
164,13000,42,116.06635600000,40.24018000000
165,14000,18,116.71141300000,39.86167600000
166,20000,51,116.38083000000,40.00579100000
167,12000,36,116.62725400000,39.82574900000
168,13000,30,116.25012200000,39.78183200000
169,25000,54,116.59283300000,39.85421600000
170,13000,18,115.85007900000,39.74584400000
171,12000,12,116.28949600000,40.13407200000
172,18000,84,116.15869500000,39.82918800000
173,14000,27,116.72152400000,40.17919200000
174,9000,12,116.65432800000,40.34077000000
175,25000,54,116.40202800000,39.97729100000
176,13000,27,116.48453900000,39.80108800000
177,14000,15,116.06247000000,39.70617300000
178,20000,78,116.44000800000,39.92007200000
179,13000,15,116.48497900000,40.13853800000
180,20000,36,116.42845500000,39.86652100000
181,18000,69,116.34062500000,39.82202200000
182,25000,45,116.38437200000,39.88690500000
183,25000,18,116.59993100000,39.97905300000
184,13000,30,116.72221100000,40.10520900000
185,12000,15,116.66275000000,40.02170500000
186,25000,63,116.50437000000,39.96101500000
187,35000,18,116.43602800000,40.05097700000
188,13000,36,116.61532900000,39.77842800000
189,25000,81,116.48090900000,39.89959100000
190,9000,42,116.32852600000,40.39992800000
191,16000,21,116.25560800000,39.94569100000
192,14000,27,116.05541900000,40.17995700000
193,15000,45,116.19403100000,39.94466500000
194,13000,54,116.27029400000,40.17683900000
195,10000,18,116.71052100000,40.28672500000
196,12000,9,116.76597300000,39.95159300000
197,12000,24,116.53245900000,40.11962700000
198,12000,39,116.55752900000,40.17419800000
199,13000,15,115.92124600000,39.64890600000
200,13000,21,115.96809600000,39.75395300000
201,16000,24,116.18649400000,39.91057100000
202,13000,45,116.65253500000,39.82989900000
203,13000,63,116.35368300000,40.10630100000
204,14000,27,116.53938100000,39.79059400000
205,20000,24,116.25670400000,40.01044400000
206,13000,57,116.53445700000,39.74130500000
207,12000,18,116.72197400000,39.86540000000
208,13000,21,116.24096100000,40.10792000000
209,16000,209,116.16915200000,40.03008800000
210,13000,21,116.16218100000,39.70586900000
211,15000,42,116.17230100000,39.91435200000
212,16000,36,116.29982300000,39.87679600000
213,14000,54,116.45560000000,40.15579300000
214,8000,9,116.64020300000,40.55414900000
215,18000,18,116.29846300000,40.01007100000
216,14000,54,116.40201000000,40.05404800000
217,15000,9,115.99329900000,39.93692600000
218,15000,15,115.94896300000,40.05179700000
219,12000,18,116.74496800000,40.06771300000
220,14000,45,116.62794200000,39.71119700000
221,12000,36,116.76902100000,39.85687400000
222,13000,12,116.78915900000,40.12636100000
223,25000,48,116.46826600000,39.93963900000
224,35000,81,116.56117400000,39.94050200000
225,12000,225,116.72197400000,39.86540000000
226,13000,18,116.77050100000,40.16243400000
227,13000,27,116.77078700000,39.72738500000
228,16000,12,116.28054300000,39.83172300000
229,12000,54,116.64516800000,40.20812900000
230,20000,48,116.56727000000,39.89998200000
231,16000,108,116.24279300000,39.85490500000
232,20000,48,116.54091400000,39.89628900000
233,10000,18,116.68953200000,40.44255300000
234,18000,93,116.33942700000,39.96173000000
235,13000,84,116.20988400000,39.78859800000
236,12000,33,116.37238900000,39.76972200000
237,35000,51,116.46936300000,39.82628500000
238,12000,21,116.74953400000,39.92818800000
239,20000,60,116.37098700000,39.78651400000
240,18000,42,116.31745300000,40.00163500000
241,30000,81,116.43331900000,39.97144200000
242,25000,24,116.45098100000,39.84719200000
243,22000,21,116.27846600000,39.87232100000
244,13000,33,116.41311500000,39.65077000000
245,14000,24,116.28893300000,39.67562100000
246,20000,24,116.27957300000,39.99946100000
247,8000,18,116.45273100000,40.30405500000
248,20000,9,116.26357600000,39.88938400000
249,22000,18,116.31110800000,39.94087800000
250,9000,21,116.55295300000,40.39477600000
251,14000,15,116.01605700000,39.63425300000
252,14000,33,116.01552900000,39.92220700000
253,13000,42,116.52148000000,40.07712400000
254,18000,30,116.27351400000,39.93874500000
