ScID,Category,Lat,Long,Capacity,Staff
2453,1,40.69587100000,116.38615600000,15,3
2454,1,40.00447500000,116.37434800000,15,3
2455,1,40.13811400000,116.39467600000,15,3
2456,1,40.41018200000,116.24661500000,15,3
2457,1,39.68986700000,116.00404100000,15,3
2458,1,39.85619500000,116.36503200000,15,3
2459,1,39.77623500000,116.70030900000,15,3
2460,1,40.25181400000,116.39439500000,15,3
2461,1,39.91902800000,116.59271000000,15,3
2462,1,39.96628400000,116.52566400000,10,2
2463,1,39.83501100000,116.29003500000,10,2
2464,1,40.17759900000,116.78294900000,10,2
2465,1,39.82874800000,116.57466900000,10,2
2466,1,39.77486500000,116.24016900000,10,2
2467,1,39.87083900000,116.24931400000,10,2
2468,1,39.94983300000,116.27661300000,10,2
2469,1,39.91019000000,116.56426500000,10,2
2470,1,39.91319500000,116.42035200000,10,2
2471,1,40.08055900000,116.32017500000,10,2
2472,1,39.96560400000,116.44977700000,10,2
2473,1,40.15508200000,116.54816100000,10,2
2474,1,39.89771600000,116.18789200000,10,2
2476,1,40.01263000000,116.62964200000,15,3
2477,1,39.79113000000,116.30355700000,15,3
1969,2,40.05019700000,116.12528200000,12,3
1970,2,40.03955000000,116.06454600000,12,3
1971,2,39.86496100000,116.45467500000,12,3
1972,2,40.06917500000,116.49266900000,12,3
1973,2,39.94905100000,116.43387300000,12,3
1974,2,39.90237900000,116.42870700000,11,3
1975,2,39.92007700000,116.41780700000,11,3
1976,2,39.63145800000,116.31016500000,11,3
1977,2,40.12380800000,116.40265800000,11,3
1978,2,39.63893600000,116.50181800000,11,3
1979,2,39.71519600000,116.12963300000,11,3
1980,2,39.92915800000,116.39623800000,11,3
1981,2,40.04016000000,116.33544200000,11,3
1982,2,40.02293900000,116.26335800000,11,3
1983,2,39.84898600000,116.60610600000,11,3
1984,2,40.15114700000,116.32654700000,11,3
1985,2,39.97890400000,116.37693000000,11,3
1986,2,39.90002900000,116.38167000000,11,3
1987,2,39.84270500000,116.13362300000,11,3
1988,2,39.73773300000,116.18936900000,11,3
1989,2,39.92465800000,116.46800900000,11,3
1990,2,39.99842500000,116.45053900000,11,3
1991,2,40.02397900000,116.21447200000,11,3
1992,2,39.97373100000,116.45004400000,11,3
1993,2,39.80263200000,116.29884300000,11,3
1994,2,39.78424800000,116.17738200000,11,3
1995,2,39.96533300000,116.29407600000,11,3
1996,2,39.96434800000,116.49067100000,11,3
1997,2,39.91655200000,116.40238000000,11,3
1998,2,39.95281600000,116.46539600000,11,3
1999,2,39.90601300000,116.37925500000,11,3
2000,2,40.12096500000,116.79605500000,12,3
2001,2,40.36472400000,116.78272200000,12,3
2002,2,39.90534100000,116.70088800000,12,3
2003,2,40.23562300000,116.56774400000,12,3
2004,2,39.66247400000,116.49663100000,12,3
2005,2,40.17234500000,116.89191500000,12,3
2006,2,39.85064800000,116.51156600000,12,3
2007,2,39.87380000000,116.46353700000,12,3
2008,2,39.77760400000,116.54027000000,12,3
2009,2,39.72733000000,116.21412000000,12,3
2010,2,39.90288300000,116.33382400000,12,3
2011,2,39.91144200000,116.35174300000,12,3
2012,2,39.90090000000,116.51456700000,12,3
2013,2,39.79549000000,115.95053100000,12,3
2014,2,39.75691200000,116.19943100000,12,3
2015,2,40.03890800000,116.37661900000,12,3
2016,2,39.90135800000,116.52159400000,12,3
2017,2,40.12994000000,116.11489500000,12,3
2018,2,40.52099700000,116.06610300000,12,3
2019,2,39.64982400000,116.29402800000,12,3
