CFBID,Capacity,Long,Lat,CFBRent
93,21,116.9985054,40.18951644,10000
94,15,116.2156955,39.66663267,13000
95,12,115.9681599,39.93835031,14000
96,18,115.8510292,39.92829675,15000
97,36,116.8158178,40.39030565,10000
98,30,116.3982601,39.99865868,25000
99,21,115.8250128,40.51076855,9000
100,45,116.5809161,39.66663267,13000
101,69,116.3330455,39.73713826,13000
102,87,116.4373946,39.82772264,20000
103,99,116.5678672,40.00870803,20000
104,48,116.3721728,39.8579026,20000
105,54,116.4373946,39.67670784,12000
106,45,116.3591298,39.9685072,16000
107,45,116.3069634,39.67670784,14000
108,36,116.2808837,39.7774066,14000
109,48,116.5156743,39.98860877,35000
110,12,116.4634864,39.60615975,13000
111,18,116.2026599,40.10917381,16000
112,18,116.6592135,40.2899189,10000
113,63,116.5939652,39.90818763,20000
114,39,115.9681599,39.69685518,12000
115,51,116.2678448,39.99865868,18000
116,9,116.1635576,39.86796106,18000
117,42,116.0593201,39.99865868,14000
118,136,116.6853138,40.44049747,8265
119,18,116.8810677,39.70692738,12000
120,12,116.2548064,40.12926163,14000
121,33,116.1374932,40.10917381,16000
122,69,116.0853743,39.82772264,18000
123,33,116.0853743,39.75727422,12000
124,54,116.4895796,39.87801878,35000
125,66,116.5548186,40.07903898,12000
126,24,116.3330455,40.21963965,13000
127,48,116.2939233,39.93835031,20000
128,33,116.4634864,39.74720669,14000
129,51,116.5026268,39.94840323,35000
130,33,116.2026599,39.90818763,14000
131,69,116.3721728,39.72706891,14000
132,30,116.6983641,40.00870803,14000
133,33,116.4634864,39.99865868,20000
134,36,116.5678672,40.13930497,14000
135,36,116.1114321,39.86796106,16000
136,90,116.0593201,40.08908436,18000
137,18,116.2808837,39.61624124,14000
138,51,116.5026268,39.92829675,20000
139,21,117.1159168,40.20959886,10000
140,99,116.4373946,39.75727422,13000
141,27,116.1244622,39.69685518,12000
142,30,116.5287221,39.89813205,35000
143,87,116.4895796,40.05894688,25000
144,78,116.3330455,39.65655647,14000
145,36,116.2808837,40.10917381,14000
146,21,116.0984028,39.92829675,15000
147,24,116.5809161,39.64647925,14000
148,18,116.0593201,39.75727422,13000
149,18,116.2939233,40.04890012,20000
150,18,116.3591298,39.97855828,20000
151,30,116.6853138,39.90818763,12400
